meta,scenario_1,scenario_1,scenario_1,scenario_1,scenario_1,scenario_1,scenario_1,scenario_1,scenario_1,scenario_1
hour,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
100,56.133,58.93965,61.8866325,64.98096413,68.23001233,71.64151295,75.2235886,78.98476802,82.93400643,87.08070675
101,77.449,81.32145,85.3875225,89.65689863,94.13974356,98.84673073,103.7890673,108.9785206,114.4274467,120.148819
102,131.974,138.5727,145.501335,152.7764018,160.4152218,168.4359829,176.8577821,185.7006712,194.9857047,204.73499
103,226.043,237.34515,249.2124075,261.6730279,274.7566793,288.4945132,302.9192389,318.0652008,333.9684609,350.6668839
104,254.839,267.58095,280.9599975,295.0079974,309.7583972,325.2463171,341.508633,358.5840646,376.5132678,395.3389312
105,233.249,244.91145,257.1570225,270.0148736,283.5156173,297.6913982,312.5759681,328.2047665,344.6150048,361.845755
106,152.313,159.92865,167.9250825,176.3213366,185.1374035,194.3942736,204.1139873,214.3196867,225.035671,236.2874546
107,119.638,125.6199,131.900895,138.4959398,145.4207367,152.6917736,160.3263623,168.3426804,176.7598144,185.5978051
108,100.281,105.29505,110.5598025,116.0877926,121.8921823,127.9867914,134.3861309,141.1054375,148.1607094,155.5687448
109,128.934,135.3807,142.149735,149.2572218,156.7200828,164.556087,172.7838913,181.4230859,190.4942402,200.0189522
110,106.116,111.4218,116.99289,122.8425345,128.9846612,135.4338943,142.205589,149.3158685,156.7816619,164.620745
111,139.262,146.2251,153.536355,161.2131728,169.2738314,177.737523,186.6243991,195.9556191,205.7534,216.04107
112,134.217,140.92785,147.9742425,155.3729546,163.1416024,171.2986825,179.8636166,188.8567974,198.2996373,208.2146192
113,193.236,202.8978,213.04269,223.6948245,234.8795657,246.623544,258.9547212,271.9024573,285.4975801,299.7724591
114,247.928,260.3244,273.34062,287.007651,301.3580336,316.4259352,332.247232,348.8595936,366.3025733,384.6177019
115,287.597,301.97685,317.0756925,332.9294771,349.575951,367.0547485,385.407486,404.6778603,424.9117533,446.1573409
116,250.475,262.99875,276.1486875,289.9561219,304.453928,319.6766244,335.6604556,352.4434784,370.0656523,388.5689349
117,170.816,179.3568,188.32464,197.740872,207.6279156,218.0093114,228.9097769,240.3552658,252.3730291,264.9916805
118,81.266,85.3293,89.595765,94.07555325,98.77933091,103.7182975,108.9042123,114.3494229,120.0668941,126.0702388
119,3.383,3.55215,3.7297575,3.916245375,4.112057644,4.317660526,4.533543552,4.76022073,4.998231766,5.248143355
120,39.163,41.12115,43.1772075,45.33606788,47.60287127,49.98301483,52.48216557,55.10627385,57.86158755,60.75466692
121,44.302,46.5171,48.842955,51.28510275,53.84935789,56.54182578,59.36891707,62.33736292,65.45423107,68.72694262
122,4.552,4.7796,5.01858,5.269509,5.53298445,5.809633673,6.100115356,6.405121124,6.72537718,7.061646039
123,59.436,62.4078,65.52819,68.8045995,72.24482948,75.85707095,79.6499245,83.63242072,87.81404176,92.20474384
124,58.173,61.08165,64.1357325,67.34251913,70.70964508,74.24512734,77.9573837,81.85525289,85.94801553,90.24541631
125,81.096,85.1508,89.40834,93.878757,98.57269485,103.5013296,108.6763961,114.1102159,119.8157267,125.806513
126,136.519,143.34495,150.5121975,158.0378074,165.9396977,174.2366826,182.9485168,192.0959426,201.7007397,211.7857767
127,167.983,176.38215,185.2012575,194.4613204,204.1843864,214.3936057,225.113286,236.3689503,248.1873978,260.5967677
128,176.353,185.17065,194.4291825,204.1506416,214.3581737,225.0760824,236.3298865,248.1463808,260.5536999,273.5813849
129,177.051,185.90355,195.1987275,204.9586639,215.2065971,225.9669269,237.2652733,249.1285369,261.5849638,274.664212
130,185.291,194.55555,204.2833275,214.4974939,225.2223686,236.483487,248.3076613,260.7230444,273.7591966,287.4471565
131,163.352,171.5196,180.09558,189.100359,198.555377,208.4831458,218.9073031,229.8526682,241.3453017,253.4125667
132,121.056,127.1088,133.46424,140.137452,147.1443246,154.5015408,162.2266179,170.3379488,178.8548462,187.7975885
133,116.304,122.1192,128.22516,134.636418,141.3682389,148.4366508,155.8584834,163.6514076,171.8339779,180.4256768
134,12.36,12.978,13.6269,14.308245,15.02365725,15.77484011,16.56358212,17.39176122,18.26134929,19.17441675
135,138.726,145.6623,152.945415,160.5926858,168.62232,177.053436,185.9061078,195.2014132,204.9614839,215.2095581
136,172.086,180.6903,189.724815,199.2110558,209.1716085,219.630189,230.6116984,242.1422833,254.2493975,266.9618674
137,202.875,213.01875,223.6696875,234.8531719,246.5958305,258.925622,271.8719031,285.4654982,299.7387732,314.7257118
138,235.454,247.2267,259.588035,272.5674368,286.1958086,300.505599,315.530879,331.3074229,347.8727941,365.2664338
139,234.853,246.59565,258.9254325,271.8717041,285.4652893,299.7385538,314.7254815,330.4617556,346.9848433,364.3340855
140,204.625,214.85625,225.5990625,236.8790156,248.7229664,261.1591147,274.2170705,287.927924,302.3243202,317.4405362
141,129.181,135.64005,142.4220525,149.5431551,157.0203129,164.8713285,173.114895,181.7706397,190.8591717,200.4021303
142,71.655,75.23775,78.9996375,82.94961938,87.09710034,91.45195536,96.02455313,100.8257808,105.8670698,111.1604233
143,4.68,4.914,5.1597,5.417685,5.68856925,5.972997713,6.271647598,6.585229978,6.914491477,7.260216051
144,34.847,36.58935,38.4188175,40.33975838,42.35674629,44.47458361,46.69831279,49.03322843,51.48488985,54.05913434
145,39.392,41.3616,43.42968,45.601164,47.8812222,50.27528331,52.78904748,55.42849985,58.19992484,61.10992108
146,42.502,44.6271,46.858455,49.20137775,51.66144664,54.24451897,56.95674492,59.80458216,62.79481127,65.93455184
147,5.03,5.2815,5.545575,5.82285375,6.113996438,6.419696259,6.740681072,7.077715126,7.431600882,7.803180926
148,71.297,74.86185,78.6049425,82.53518963,86.66194911,90.99504656,95.54479889,100.3220388,105.3381408,110.6050478
149,90.447,94.96935,99.7178175,104.7037084,109.9388938,115.4358385,121.2076304,127.2680119,133.6314125,140.3129832
150,117.461,123.33405,129.5007525,135.9757901,142.7745796,149.9133086,157.408974,165.2794227,173.5433939,182.2205636
151,159.593,167.57265,175.9512825,184.7488466,193.986289,203.6856034,213.8698836,224.5633778,235.7915466,247.581124
152,195.645,205.42725,215.6986125,226.4835431,237.8077203,249.6981063,262.1830116,275.2921622,289.0567703,303.5096088
153,16.893,17.73765,18.6245325,19.55575913,20.53354708,21.56022444,22.63823566,23.77014744,24.95865481,26.20658755
154,15.289,16.05345,16.8561225,17.69892863,18.58387506,19.51306881,20.48872225,21.51315836,22.58881628,23.71825709
155,147.754,155.1417,162.898785,171.0437243,179.5959105,188.575706,198.0044913,207.9047158,218.2999516,229.2149492
156,153.366,161.0343,169.086015,177.5403158,186.4173315,195.7381981,205.525108,215.8013634,226.5914316,237.9210032
157,139.525,146.50125,153.8263125,161.5176281,169.5935095,178.073185,186.9768443,196.3256865,206.1419708,216.4490693
158,14.199,14.90895,15.6543975,16.43711738,17.25897324,18.12192191,19.028018,19.9794189,20.97838985,22.02730934
