meta;scenario_1;scenario_1;scenario_1;scenario_1;scenario_1;scenario_1;scenario_1;scenario_1;scenario_1;scenario_1
hour;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035
133;43,487;43,487;43,487;43,487;43,487;43,487;43,487;43,487;43,487;43,487
134;41,327;41,327;41,327;41,327;41,327;41,327;41,327;41,327;41,327;41,327
135;48,127;48,127;48,127;48,127;48,127;48,127;48,127;48,127;48,127;48,127
136;55,167;55,167;55,167;55,167;55,167;55,167;55,167;55,167;55,167;55,167
137;72,387;72,387;72,387;72,387;72,387;72,387;72,387;72,387;72,387;72,387
138;80,067;80,067;80,067;80,067;80,067;80,067;80,067;80,067;80,067;80,067
139;69,965;69,965;69,965;69,965;69,965;69,965;69,965;69,965;69,965;69,965
140;51,829;51,829;51,829;51,829;51,829;51,829;51,829;51,829;51,829;51,829
141;51,709;51,709;51,709;51,709;51,709;51,709;51,709;51,709;51,709;51,709
142;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381
143;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941
144;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941
145;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941
146;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101
147;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101
148;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381
149;34,165;34,165;34,165;34,165;34,165;34,165;34,165;34,165;34,165;34,165
150;51,465;51,465;51,465;51,465;51,465;51,465;51,465;51,465;51,465;51,465
151;63,629;63,629;63,629;63,629;63,629;63,629;63,629;63,629;63,629;63,629
152;52,661;52,661;52,661;52,661;52,661;52,661;52,661;52,661;52,661;52,661
153;56,951;56,951;56,951;56,951;56,951;56,951;56,951;56,951;56,951;56,951
154;57,119;57,119;57,119;57,119;57,119;57,119;57,119;57,119;57,119;57,119
155;52,259;52,259;52,259;52,259;52,259;52,259;52,259;52,259;52,259;52,259
156;42,623;42,623;42,623;42,623;42,623;42,623;42,623;42,623;42,623;42,623
157;43,487;43,487;43,487;43,487;43,487;43,487;43,487;43,487;43,487;43,487
158;41,327;41,327;41,327;41,327;41,327;41,327;41,327;41,327;41,327;41,327
159;48,127;48,127;48,127;48,127;48,127;48,127;48,127;48,127;48,127;48,127
160;55,167;55,167;55,167;55,167;55,167;55,167;55,167;55,167;55,167;55,167
161;72,387;72,387;72,387;72,387;72,387;72,387;72,387;72,387;72,387;72,387
162;80,067;80,067;80,067;80,067;80,067;80,067;80,067;80,067;80,067;80,067
163;69,965;69,965;69,965;69,965;69,965;69,965;69,965;69,965;69,965;69,965
164;51,829;51,829;51,829;51,829;51,829;51,829;51,829;51,829;51,829;51,829
165;51,709;51,709;51,709;51,709;51,709;51,709;51,709;51,709;51,709;51,709
166;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381
167;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941
168;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941
169;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941
170;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101
171;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101
172;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381
173;34,165;34,165;34,165;34,165;34,165;34,165;34,165;34,165;34,165;34,165
174;51,465;51,465;51,465;51,465;51,465;51,465;51,465;51,465;51,465;51,465
175;63,629;63,629;63,629;63,629;63,629;63,629;63,629;63,629;63,629;63,629
176;52,661;52,661;52,661;52,661;52,661;52,661;52,661;52,661;52,661;52,661
177;56,951;56,951;56,951;56,951;56,951;56,951;56,951;56,951;56,951;56,951
178;57,119;57,119;57,119;57,119;57,119;57,119;57,119;57,119;57,119;57,119
179;52,259;52,259;52,259;52,259;52,259;52,259;52,259;52,259;52,259;52,259
180;42,623;42,623;42,623;42,623;42,623;42,623;42,623;42,623;42,623;42,623
181;43,487;43,487;43,487;43,487;43,487;43,487;43,487;43,487;43,487;43,487
