meta,scenario_1,scenario_1,scenario_1,scenario_1,scenario_1
hour,2026,2027,2028,2029,2030
,Solar,Solar,Solar,Solar,Solar
385,0,0,0,0,0
386,0,0,0,0,0
387,0,0,0,0,0
388,0,0,0,0,0
389,0,0,0,0,0
390,0,0,0,0,0
391,0.18009,0.18009,0.18009,0.18009,0.18009
392,0.41674,0.41674,0.41674,0.41674,0.41674
393,0.59817,0.59817,0.59817,0.59817,0.59817
394,0.72012,0.72012,0.72012,0.72012,0.72012
395,0.78477,0.78477,0.78477,0.78477,0.78477
396,0.78822,0.78822,0.78822,0.78822,0.78822
397,0.74964,0.74964,0.74964,0.74964,0.74964
398,0.64026,0.64026,0.64026,0.64026,0.64026
399,0.49331,0.49331,0.49331,0.49331,0.49331
400,0.28902,0.28902,0.28902,0.28902,0.28902
401,0.05136,0.05136,0.05136,0.05136,0.05136
402,0,0,0,0,0
403,0,0,0,0,0
404,0,0,0,0,0
405,0,0,0,0,0
406,0,0,0,0,0
407,0,0,0,0,0
408,0,0,0,0,0
409,0,0,0,0,0
410,0,0,0,0,0
411,0,0,0,0,0
412,0,0,0,0,0
413,0,0,0,0,0
414,0,0,0,0,0
415,0.17455,0.17455,0.17455,0.17455,0.17455
416,0.40853,0.40853,0.40853,0.40853,0.40853
417,0.58323,0.58323,0.58323,0.58323,0.58323
418,0.7145,0.7145,0.7145,0.7145,0.7145
419,0.78686,0.78686,0.78686,0.78686,0.78686
420,0.78952,0.78952,0.78952,0.78952,0.78952
421,0.72286,0.72286,0.72286,0.72286,0.72286
422,0.60745,0.60745,0.60745,0.60745,0.60745
423,0.47284,0.47284,0.47284,0.47284,0.47284
424,0.26057,0.26057,0.26057,0.26057,0.26057
425,0.05356,0.05356,0.05356,0.05356,0.05356
426,0,0,0,0,0
427,0,0,0,0,0
428,0,0,0,0,0
429,0,0,0,0,0
430,0,0,0,0,0
431,0,0,0,0,0
432,0,0,0,0,0
433,0,0,0,0,0
434,0,0,0,0,0
435,0,0,0,0,0
436,0,0,0,0,0
437,0,0,0,0,0
438,0,0,0,0,0
439,0.17204,0.17204,0.17204,0.17204,0.17204
440,0.4074,0.4074,0.4074,0.4074,0.4074
441,0.59712,0.59712,0.59712,0.59712,0.59712
442,0.72557,0.72557,0.72557,0.72557,0.72557
443,0.79386,0.79386,0.79386,0.79386,0.79386
444,0.8001,0.8001,0.8001,0.8001,0.8001
445,0.74612,0.74612,0.74612,0.74612,0.74612
446,0.64606,0.64606,0.64606,0.64606,0.64606
447,0.49747,0.49747,0.49747,0.49747,0.49747
448,0.29012,0.29012,0.29012,0.29012,0.29012
449,0.05621,0.05621,0.05621,0.05621,0.05621
450,0,0,0,0,0
451,0,0,0,0,0
452,0,0,0,0,0
453,0,0,0,0,0
454,0,0,0,0,0
455,0,0,0,0,0
456,0,0,0,0,0
457,0,0,0,0,0
458,0,0,0,0,0
459,0,0,0,0,0
460,0,0,0,0,0
461,0,0,0,0,0
462,0,0,0,0,0
463,0.17435,0.17435,0.17435,0.17435,0.17435
464,0.40945,0.40945,0.40945,0.40945,0.40945
465,0.59623,0.59623,0.59623,0.59623,0.59623
466,0.72075,0.72075,0.72075,0.72075,0.72075
467,0.78407,0.78407,0.78407,0.78407,0.78407
468,0.78879,0.78879,0.78879,0.78879,0.78879
469,0.73958,0.73958,0.73958,0.73958,0.73958
470,0.63711,0.63711,0.63711,0.63711,0.63711
471,0.49856,0.49856,0.49856,0.49856,0.49856
472,0.28725,0.28725,0.28725,0.28725,0.28725
473,0.06016,0.06016,0.06016,0.06016,0.06016
474,0,0,0,0,0
475,0,0,0,0,0
476,0,0,0,0,0
477,0,0,0,0,0
478,0,0,0,0,0
479,0,0,0,0,0
480,0,0,0,0,0
481,0,0,0,0,0
482,0,0,0,0,0
483,0,0,0,0,0
484,0,0,0,0,0
485,0,0,0,0,0
486,0,0,0,0,0
487,0.17018,0.17018,0.17018,0.17018,0.17018
488,0.39714,0.39714,0.39714,0.39714,0.39714
489,0.58295,0.58295,0.58295,0.58295,0.58295
490,0.70539,0.70539,0.70539,0.70539,0.70539
491,0.77132,0.77132,0.77132,0.77132,0.77132
492,0.77635,0.77635,0.77635,0.77635,0.77635
493,0.72167,0.72167,0.72167,0.72167,0.72167
494,0.62971,0.62971,0.62971,0.62971,0.62971
495,0.48897,0.48897,0.48897,0.48897,0.48897
496,0.29139,0.29139,0.29139,0.29139,0.29139
497,0.06016,0.06016,0.06016,0.06016,0.06016
498,0,0,0,0,0
499,0,0,0,0,0
500,0,0,0,0,0
501,0,0,0,0,0
502,0,0,0,0,0
503,0,0,0,0,0
504,0,0,0,0,0
505,0,0,0,0,0
506,0,0,0,0,0
507,0,0,0,0,0
508,0,0,0,0,0
509,0,0,0,0,0
510,0,0,0,0,0
511,0.16534,0.16534,0.16534,0.16534,0.16534
512,0.39295,0.39295,0.39295,0.39295,0.39295
513,0.58141,0.58141,0.58141,0.58141,0.58141
514,0.70716,0.70716,0.70716,0.70716,0.70716
515,0.77263,0.77263,0.77263,0.77263,0.77263
516,0.77933,0.77933,0.77933,0.77933,0.77933
517,0.72646,0.72646,0.72646,0.72646,0.72646
518,0.62406,0.62406,0.62406,0.62406,0.62406
519,0.48329,0.48329,0.48329,0.48329,0.48329
520,0.28462,0.28462,0.28462,0.28462,0.28462
521,0.05997,0.05997,0.05997,0.05997,0.05997
522,0,0,0,0,0
523,0,0,0,0,0
524,0,0,0,0,0
525,0,0,0,0,0
526,0,0,0,0,0
527,0,0,0,0,0
528,0,0,0,0,0
529,0,0,0,0,0
530,0,0,0,0,0
531,0,0,0,0,0
532,0,0,0,0,0
533,0,0,0,0,0
534,0,0,0,0,0
535,0.17034,0.17034,0.17034,0.17034,0.17034
536,0.40571,0.40571,0.40571,0.40571,0.40571
537,0.58954,0.58954,0.58954,0.58954,0.58954
538,0.71385,0.71385,0.71385,0.71385,0.71385
539,0.77891,0.77891,0.77891,0.77891,0.77891
540,0.7902,0.7902,0.7902,0.7902,0.7902
541,0.73671,0.73671,0.73671,0.73671,0.73671
542,0.63555,0.63555,0.63555,0.63555,0.63555
543,0.49301,0.49301,0.49301,0.49301,0.49301
544,0.29571,0.29571,0.29571,0.29571,0.29571
545,0.06447,0.06447,0.06447,0.06447,0.06447
546,0,0,0,0,0
547,0,0,0,0,0
548,0,0,0,0,0
549,0,0,0,0,0
550,0,0,0,0,0
551,0,0,0,0,0
552,0,0,0,0,0
553,0,0,0,0,0
554,0,0,0,0,0
555,0,0,0,0,0
556,0,0,0,0,0
557,0,0,0,0,0
558,0,0,0,0,0
559,0.17337,0.17337,0.17337,0.17337,0.17337
560,0.40826,0.40826,0.40826,0.40826,0.40826
561,0.59752,0.59752,0.59752,0.59752,0.59752
562,0.72323,0.72323,0.72323,0.72323,0.72323
563,0.7874,0.7874,0.7874,0.7874,0.7874
564,0.79463,0.79463,0.79463,0.79463,0.79463
565,0.74375,0.74375,0.74375,0.74375,0.74375
566,0.64882,0.64882,0.64882,0.64882,0.64882
567,0.50588,0.50588,0.50588,0.50588,0.50588
568,0.30474,0.30474,0.30474,0.30474,0.30474
569,0.06478,0.06478,0.06478,0.06478,0.06478
570,0,0,0,0,0
571,0,0,0,0,0
572,0,0,0,0,0
573,0,0,0,0,0
574,0,0,0,0,0
575,0,0,0,0,0
576,0,0,0,0,0
577,0,0,0,0,0
578,0,0,0,0,0
579,0,0,0,0,0
580,0,0,0,0,0
581,0,0,0,0,0
582,0,0,0,0,0
583,0.17872,0.17872,0.17872,0.17872,0.17872
584,0.4129,0.4129,0.4129,0.4129,0.4129
585,0.60114,0.60114,0.60114,0.60114,0.60114
586,0.73237,0.73237,0.73237,0.73237,0.73237
587,0.79351,0.79351,0.79351,0.79351,0.79351
588,0.79729,0.79729,0.79729,0.79729,0.79729
589,0.74858,0.74858,0.74858,0.74858,0.74858
590,0.64954,0.64954,0.64954,0.64954,0.64954
591,0.50612,0.50612,0.50612,0.50612,0.50612
