meta,scenario_1,scenario_1,scenario_1,scenario_1,scenario_1
hour,2026,2027,2028,2029,2030
425,163.968,163.968,163.968,163.968,163.968
426,260.453,260.453,260.453,260.453,260.453
427,274.202,274.202,274.202,274.202,274.202
428,22.459,22.459,22.459,22.459,22.459
429,149.172,149.172,149.172,149.172,149.172
430,55.766,55.766,55.766,55.766,55.766
431,26.249,26.249,26.249,26.249,26.249
432,38.711,38.711,38.711,38.711,38.711
433,46.161,46.161,46.161,46.161,46.161
434,50.609,50.609,50.609,50.609,50.609
435,44.613,44.613,44.613,44.613,44.613
436,55.879,55.879,55.879,55.879,55.879
437,69.631,69.631,69.631,69.631,69.631
438,117.462,117.462,117.462,117.462,117.462
439,209.738,209.738,209.738,209.738,209.738
440,257.206,257.206,257.206,257.206,257.206
441,224.059,224.059,224.059,224.059,224.059
442,141.547,141.547,141.547,141.547,141.547
443,15.863,15.863,15.863,15.863,15.863
444,103.156,103.156,103.156,103.156,103.156
445,104.623,104.623,104.623,104.623,104.623
446,120.282,120.282,120.282,120.282,120.282
447,13.637,13.637,13.637,13.637,13.637
448,153.884,153.884,153.884,153.884,153.884
449,161.773,161.773,161.773,161.773,161.773
450,22.82,22.82,22.82,22.82,22.82
451,286.329,286.329,286.329,286.329,286.329
452,238.017,238.017,238.017,238.017,238.017
453,167.259,167.259,167.259,167.259,167.259
454,68.879,68.879,68.879,68.879,68.879
455,21.859,21.859,21.859,21.859,21.859
456,35.841,35.841,35.841,35.841,35.841
457,40.965,40.965,40.965,40.965,40.965
458,42.889,42.889,42.889,42.889,42.889
459,45.264,45.264,45.264,45.264,45.264
460,60.879,60.879,60.879,60.879,60.879
461,84.764,84.764,84.764,84.764,84.764
462,126.708,126.708,126.708,126.708,126.708
463,173.953,173.953,173.953,173.953,173.953
464,194.332,194.332,194.332,194.332,194.332
465,186.564,186.564,186.564,186.564,186.564
466,184.293,184.293,184.293,184.293,184.293
467,15.322,15.322,15.322,15.322,15.322
468,154.854,154.854,154.854,154.854,154.854
469,146.302,146.302,146.302,146.302,146.302
470,140.636,140.636,140.636,140.636,140.636
471,15.327,15.327,15.327,15.327,15.327
472,179.358,179.358,179.358,179.358,179.358
473,220.637,220.637,220.637,220.637,220.637
474,21.81,21.81,21.81,21.81,21.81
475,23.344,23.344,23.344,23.344,23.344
476,175.063,175.063,175.063,175.063,175.063
477,105.076,105.076,105.076,105.076,105.076
478,55.803,55.803,55.803,55.803,55.803
479,39.286,39.286,39.286,39.286,39.286
480,38.669,38.669,38.669,38.669,38.669
481,4.175,4.175,4.175,4.175,4.175
482,43.799,43.799,43.799,43.799,43.799
483,43.834,43.834,43.834,43.834,43.834
484,51.197,51.197,51.197,51.197,51.197
485,70.185,70.185,70.185,70.185,70.185
486,131.734,131.734,131.734,131.734,131.734
487,171.808,171.808,171.808,171.808,171.808
488,167.613,167.613,167.613,167.613,167.613
489,148.555,148.555,148.555,148.555,148.555
490,137.479,137.479,137.479,137.479,137.479
491,116.203,116.203,116.203,116.203,116.203
492,13.001,13.001,13.001,13.001,13.001
493,113.171,113.171,113.171,113.171,113.171
494,139.101,139.101,139.101,139.101,139.101
495,180.093,180.093,180.093,180.093,180.093
496,192.941,192.941,192.941,192.941,192.941
497,216.638,216.638,216.638,216.638,216.638
498,237.437,237.437,237.437,237.437,237.437
499,221.641,221.641,221.641,221.641,221.641
500,186.057,186.057,186.057,186.057,186.057
501,133.829,133.829,133.829,133.829,133.829
502,95.537,95.537,95.537,95.537,95.537
503,49.355,49.355,49.355,49.355,49.355
504,34.302,34.302,34.302,34.302,34.302
505,40.985,40.985,40.985,40.985,40.985
506,44.525,44.525,44.525,44.525,44.525
507,46.304,46.304,46.304,46.304,46.304
508,49.932,49.932,49.932,49.932,49.932
509,68.671,68.671,68.671,68.671,68.671
510,125.802,125.802,125.802,125.802,125.802
511,23.967,23.967,23.967,23.967,23.967
512,267.858,267.858,267.858,267.858,267.858
513,218.901,218.901,218.901,218.901,218.901
514,148.588,148.588,148.588,148.588,148.588
515,112.454,112.454,112.454,112.454,112.454
516,126.551,126.551,126.551,126.551,126.551
517,111.618,111.618,111.618,111.618,111.618
518,95.487,95.487,95.487,95.487,95.487
519,122.704,122.704,122.704,122.704,122.704
520,163.489,163.489,163.489,163.489,163.489
521,203.671,203.671,203.671,203.671,203.671
522,287.269,287.269,287.269,287.269,287.269
523,304.034,304.034,304.034,304.034,304.034
524,246.672,246.672,246.672,246.672,246.672
525,158.169,158.169,158.169,158.169,158.169
526,77.572,77.572,77.572,77.572,77.572
527,45.351,45.351,45.351,45.351,45.351
528,30.027,30.027,30.027,30.027,30.027
529,38.641,38.641,38.641,38.641,38.641
530,38.104,38.104,38.104,38.104,38.104
531,52.502,52.502,52.502,52.502,52.502
532,5.728,5.728,5.728,5.728,5.728
533,85.222,85.222,85.222,85.222,85.222
534,12.304,12.304,12.304,12.304,12.304
535,209.872,209.872,209.872,209.872,209.872
536,26.583,26.583,26.583,26.583,26.583
537,234.279,234.279,234.279,234.279,234.279
538,172.367,172.367,172.367,172.367,172.367
539,12.561,12.561,12.561,12.561,12.561
540,115.696,115.696,115.696,115.696,115.696
541,92.488,92.488,92.488,92.488,92.488
542,113.035,113.035,113.035,113.035,113.035
543,146.564,146.564,146.564,146.564,146.564
544,153.695,153.695,153.695,153.695,153.695
545,193.458,193.458,193.458,193.458,193.458
546,274.242,274.242,274.242,274.242,274.242
547,277.194,277.194,277.194,277.194,277.194
548,226.999,226.999,226.999,226.999,226.999
549,176.538,176.538,176.538,176.538,176.538
550,86.451,86.451,86.451,86.451,86.451
551,33.958,33.958,33.958,33.958,33.958
552,18.765,18.765,18.765,18.765,18.765
553,22.066,22.066,22.066,22.066,22.066
554,32.984,32.984,32.984,32.984,32.984
555,40.553,40.553,40.553,40.553,40.553
556,51.366,51.366,51.366,51.366,51.366
557,68.874,68.874,68.874,68.874,68.874
558,121.783,121.783,121.783,121.783,121.783
559,218.654,218.654,218.654,218.654,218.654
560,246.991,246.991,246.991,246.991,246.991
561,22.108,22.108,22.108,22.108,22.108
562,141.216,141.216,141.216,141.216,141.216
563,103.495,103.495,103.495,103.495,103.495
564,112.718,112.718,112.718,112.718,112.718
565,119.398,119.398,119.398,119.398,119.398
566,117.278,117.278,117.278,117.278,117.278
567,127.777,127.777,127.777,127.777,127.777
568,141.462,141.462,141.462,141.462,141.462
569,188.452,188.452,188.452,188.452,188.452
570,235.678,235.678,235.678,235.678,235.678
571,288.831,288.831,288.831,288.831,288.831
572,228.322,228.322,228.322,228.322,228.322
573,148.389,148.389,148.389,148.389,148.389
574,60.307,60.307,60.307,60.307,60.307
575,3.235,3.235,3.235,3.235,3.235
576,19.987,19.987,19.987,19.987,19.987
577,23.359,23.359,23.359,23.359,23.359
578,33.265,33.265,33.265,33.265,33.265
579,48.912,48.912,48.912,48.912,48.912
580,61.423,61.423,61.423,61.423,61.423
581,83.534,83.534,83.534,83.534,83.534
582,144.815,144.815,144.815,144.815,144.815
583,234.559,234.559,234.559,234.559,234.559
584,249.426,249.426,249.426,249.426,249.426
585,226.013,226.013,226.013,226.013,226.013
586,158.194,158.194,158.194,158.194,158.194
587,110.097,110.097,110.097,110.097,110.097
588,106.106,106.106,106.106,106.106,106.106
589,11.225,11.225,11.225,11.225,11.225
590,11.287,11.287,11.287,11.287,11.287
591,119.941,119.941,119.941,119.941,119.941
592,143.325,143.325,143.325,143.325,143.325
593,181.093,181.093,181.093,181.093,181.093
594,245.239,245.239,245.239,245.239,245.239
595,265.928,265.928,265.928,265.928,265.928
596,250.948,250.948,250.948,250.948,250.948
597,155.593,155.593,155.593,155.593,155.593
598,8.338,8.338,8.338,8.338,8.338
599,41.382,41.382,41.382,41.382,41.382
600,19.163,19.163,19.163,19.163,19.163
601,21.538,21.538,21.538,21.538,21.538
602,42.746,42.746,42.746,42.746,42.746
603,52.618,52.618,52.618,52.618,52.618
604,55.772,55.772,55.772,55.772,55.772
605,76.863,76.863,76.863,76.863,76.863
606,119.515,119.515,119.515,119.515,119.515
607,210.368,210.368,210.368,210.368,210.368
608,262.919,262.919,262.919,262.919,262.919
609,226.245,226.245,226.245,226.245,226.245
610,151.087,151.087,151.087,151.087,151.087
611,106.938,106.938,106.938,106.938,106.938
612,125.408,125.408,125.408,125.408,125.408
613,104.125,104.125,104.125,104.125,104.125
614,129.953,129.953,129.953,129.953,129.953
615,132.879,132.879,132.879,132.879,132.879
616,142.183,142.183,142.183,142.183,142.183
617,20.473,20.473,20.473,20.473,20.473
618,297.184,297.184,297.184,297.184,297.184
619,310.586,310.586,310.586,310.586,310.586
620,250.203,250.203,250.203,250.203,250.203
621,151.257,151.257,151.257,151.257,151.257
622,91.455,91.455,91.455,91.455,91.455
623,38.603,38.603,38.603,38.603,38.603
624,33.064,33.064,33.064,33.064,33.064
625,34.781,34.781,34.781,34.781,34.781
626,40.608,40.608,40.608,40.608,40.608
627,46.521,46.521,46.521,46.521,46.521
628,60.236,60.236,60.236,60.236,60.236
