Periods,Solar PV
415,0.0
416,29.84694607234441
417,47.10444718949867
418,105.80944143443283
419,135.71711335314433
420,588.079953172875
421,643.5410558510137
422,792.1786014201649
423,806.5023959063732
424,362.439156436709
425,451.57963838380493
426,262.4209731303533
427,53.75982651246388
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,25.839489510343935
441,135.90933439542945
442,386.6280143128625
443,518.4710534999277
444,419.90179763883947
445,567.6310503258153
446,646.5172942352243
447,573.1720119402394
448,520.379363626003
449,505.3509658465391
450,309.9965144955321
451,37.3440249330484
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,27.794237153814496
465,41.96559662163976
466,151.40952539699853
467,221.52828872005608
468,516.9614486066466
469,561.3994087911151
470,759.07117589941
471,298.8176016656231
472,415.9314263393558
473,242.94710877420354
474,181.27669874481722
475,66.81450119536495
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,17.488859618887933
489,269.6715133566561
490,492.5069084509178
491,668.1309754359065
492,743.4492673799924
493,719.1856791157384
494,588.2624346315718
495,751.6115788736909
496,702.7077121544619
497,0.0
498,0.0
499,86.2187803924113
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,36.930294110739965
513,264.01299720614264
514,491.12343202387655
515,672.0211140035674
516,794.1438344332967
517,830.3165580175231
518,785.2259612094468
519,0.0
520,0.0
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,0.0
536,0.0
537,0.0
538,0.0
539,0.0
540,0.0
541,0.0
542,0.0
543,0.0
544,0.0
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.0
558,0.0
559,0.0
560,32.882630359221466
561,217.07193406759578
562,370.1267873907131
563,658.759880206762
564,759.4427823902877
565,661.1553973991606
566,863.8104560106638
567,817.8014287405252
568,708.2358040791975
569,541.4303293577244
570,320.7661061255852
571,100.2985185924588
572,0.0
573,0.0
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,0.0
583,0.0
584,37.05208227879963
585,218.2825121497675
586,450.7024074147235
587,666.2324801978211
588,795.8062203626812
589,875.2594416567024
590,822.6121953297454
591,804.5132739462272
592,699.9564855351629
593,532.8064208777753
594,277.5836008949331
595,104.57684541449974
596,0.0
597,0.0
598,0.0
599,0.0
600,0.0
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,0.0
607,0.0
608,30.85763328826499
609,261.7600399415703
610,487.9009143341956
611,672.9092625246477
612,798.6636250366681
613,871.8804446533798
614,868.9972579275277
615,817.9561842689944
616,705.3653045357152
617,553.8550131666827
618,244.52670413182832
619,66.34434224051488
620,0.0
621,0.0
622,0.0
623,0.0
624,0.0
625,0.0
626,0.0
627,0.0
628,0.0
629,0.0
630,0.0
631,0.0
632,9.24651162424791
633,220.58836148835013
634,245.12383081521
635,458.7332378614964
636,595.7124386327463
637,616.8530305003405
638,585.8516055071123
639,562.3374422169494
640,285.9383145791195
641,79.22411643630517
642,124.79245690501028
643,89.97550482245089
644,0.0
645,0.0
646,0.0
647,0.0
648,0.0
649,0.0
650,0.0
651,0.0
652,0.0
653,0.0
654,0.0
655,0.0
656,35.96946208047171
657,190.0790231979
658,413.5399471464687
659,632.2484899319933
660,785.1795116441562
661,844.1872426708535
662,871.3359145889576
663,701.0101518684542
664,708.8717017601887
665,538.8812871853308
666,336.7960007159914
667,103.91716089911291
668,0.0
669,0.0
670,0.0
671,0.0
672,0.0
673,0.0
674,0.0
675,0.0
676,0.0
677,0.0
678,0.0
679,0.0
680,34.922327332736344
681,262.714792661702
682,482.7033007164093
683,617.1080304512245
684,790.5853124856225
685,849.8927399337707
686,817.6212489600274
687,803.3747853068675
688,712.5432930378952
689,535.4381634130693
690,331.19377101940836
691,100.01458699070005
692,0.0
693,0.0
694,0.0
695,0.0
696,0.0
697,0.0
698,0.0
699,0.0
700,0.0
701,0.0
702,0.0
703,0.0
704,35.089048575686874
705,268.3842753957921
706,494.655572864392
707,682.5975705035133
708,815.4677998905264
709,887.6058921238689
710,885.6722283231585
711,837.9516933718132
712,723.4830562528838
713,547.5606220955824
714,342.4734060335774
715,107.67057670238525
716,0.0
717,0.0
718,0.0
719,0.0
720,0.0
721,0.0
722,0.0
723,0.0
724,0.0
725,0.0
726,0.0
727,0.0
728,34.92201536815556
729,265.15372990760454
730,490.67689006349127
731,675.8779519701328
732,807.6602373838361
733,875.2614964966417
734,877.0903466488033
735,826.2528980370586
736,711.4340027899893
737,535.5465874483247
738,328.53631049702847
739,112.1613086853696
740,0.0
741,0.0
742,0.0
743,0.0
744,0.0
745,0.0
746,0.0
747,0.0
748,0.0
749,0.0
750,0.0
751,0.0
752,0.0
753,44.791401299846555
754,356.9417509755402
755,331.489094669186
756,411.0000938795806
757,582.662659187073
758,759.5924173781274
759,637.2400917452001
760,478.9450322965611
761,525.3664517274635
762,326.3456327453125
763,150.4822531712791
764,0.0
765,0.0
766,0.0
767,0.0
768,0.0
769,0.0
770,0.0
771,0.0
772,0.0
773,0.0
774,0.0
775,0.0
776,0.0
777,171.53416406146755
778,409.8607362431385
779,619.3501672842052
780,768.8600568410784
781,868.2239431304652
782,902.2715815563529
783,867.3387292381854
784,785.200509274053
785,634.0466264682633
786,427.96787451415975
787,189.0168445480758
788,0.0
789,0.0
790,0.0
791,0.0
792,0.0
793,0.0
794,0.0
795,0.0
796,0.0
797,0.0
798,0.0
799,0.0
800,0.0
801,171.06823388608132
802,390.1176285571843
803,604.7509761269865
