meta,Constant_Demand,Constant_Demand,Constant_Demand,Constant_Demand,Constant_Demand,Constant_Demand,Constant_Demand,Constant_Demand,Constant_Demand,Constant_Demand,Constant_Demand,Constant_Demand,Constant_Demand,Constant_Demand,Constant_Demand,Constant_Demand,Constant_Demand,Constant_Demand,Constant_Demand,Constant_Demand,Moderate_Growth,Moderate_Growth,Moderate_Growth,Moderate_Growth,Moderate_Growth,Moderate_Growth,Moderate_Growth,Moderate_Growth,Moderate_Growth,Moderate_Growth,Moderate_Growth,Moderate_Growth,Moderate_Growth,Moderate_Growth,Moderate_Growth,Moderate_Growth,Moderate_Growth,Moderate_Growth,Moderate_Growth,Moderate_Growth,High_Growth,High_Growth,High_Growth,High_Growth,High_Growth,High_Growth,High_Growth,High_Growth,High_Growth,High_Growth,High_Growth,High_Growth,High_Growth,High_Growth,High_Growth,High_Growth,High_Growth,High_Growth,High_Growth,High_Growth
hour,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045
5760,1.878,1.878,1.878,1.878,1.878,1.878,1.878,1.878,1.878,1.878,1.878,1.878,1.878,1.878,1.878,1.878,1.878,1.878,1.878,1.878,1.878,2.2536,2.70432,3.245184,3.8942208,4.67306496,5.607677952,6.729213542,8.075056251,9.690067501,11.628081,13.9536972,16.74443664,20.09332397,24.11198876,28.93438652,34.72126382,41.66551658,49.9986199,59.99834388,1.878,2.6292,3.15504,3.786048,4.5432576,5.45190912,6.542290944,7.850749133,9.420898959,11.30507875,13.5660945,16.2793134,19.53517608,23.4422113,28.13065356,33.75678427,40.50814112,48.60976935,58.33172322,69.99806786
5761,32.937,32.937,32.937,32.937,32.937,32.937,32.937,32.937,32.937,32.937,32.937,32.937,32.937,32.937,32.937,32.937,32.937,32.937,32.937,32.937,32.937,39.5244,47.42928,56.915136,68.2981632,81.95779584,98.34935501,118.019226,141.6230712,169.9476855,203.9372225,244.7246671,293.6696005,352.4035206,422.8842247,507.4610696,608.9532835,730.7439402,876.8927283,1052.271274,32.937,46.1118,55.33416,66.400992,79.6811904,95.61742848,114.7409142,137.689097,165.2269164,198.2722997,237.9267596,285.5121116,342.6145339,411.1374406,493.3649288,592.0379145,710.4454974,852.5345969,1023.041516,1227.64982
5762,22.468,22.468,22.468,22.468,22.468,22.468,22.468,22.468,22.468,22.468,22.468,22.468,22.468,22.468,22.468,22.468,22.468,22.468,22.468,22.468,22.468,26.9616,32.35392,38.824704,46.5896448,55.90757376,67.08908851,80.50690621,96.60828746,115.9299449,139.1159339,166.9391207,200.3269449,240.3923338,288.4708006,346.1649607,415.3979529,498.4775435,598.1730522,717.8076626,22.468,31.4552,37.74624,45.295488,54.3545856,65.22550272,78.27060326,93.92472392,112.7096687,135.2516024,162.3019229,194.7623075,233.714769,280.4577228,336.5492674,403.8591209,484.630945,581.557134,697.8685608,837.442273
5763,33.104,33.104,33.104,33.104,33.104,33.104,33.104,33.104,33.104,33.104,33.104,33.104,33.104,33.104,33.104,33.104,33.104,33.104,33.104,33.104,33.104,39.7248,47.66976,57.203712,68.6444544,82.37334528,98.84801434,118.6176172,142.3411406,170.8093688,204.9712425,245.965491,295.1585892,354.1903071,425.0283685,510.0340422,612.0408506,734.4490208,881.3388249,1057.60659,33.104,46.3456,55.61472,66.737664,80.0851968,96.10223616,115.3226834,138.3872201,166.0646641,199.2775969,239.1331163,286.9597395,344.3516874,413.2220249,495.8664299,595.0397159,714.0476591,856.8571909,1028.228629,1233.874355
5764,54.087,54.087,54.087,54.087,54.087,54.087,54.087,54.087,54.087,54.087,54.087,54.087,54.087,54.087,54.087,54.087,54.087,54.087,54.087,54.087,54.087,64.9044,77.88528,93.462336,112.1548032,134.5857638,161.5029166,193.8034999,232.5641999,279.0770399,334.8924479,401.8709375,482.2451249,578.6941499,694.4329799,833.3195759,999.9834911,1199.980189,1439.976227,1727.971473,54.087,75.7218,90.86616,109.039392,130.8472704,157.0167245,188.4200694,226.1040833,271.3248999,325.5898799,390.7078559,468.849427,562.6193124,675.1431749,810.1718099,972.2061719,1166.647406,1399.976888,1679.972265,2015.966718
5765,5.991,5.991,5.991,5.991,5.991,5.991,5.991,5.991,5.991,5.991,5.991,5.991,5.991,5.991,5.991,5.991,5.991,5.991,5.991,5.991,5.991,7.1892,8.62704,10.352448,12.4229376,14.90752512,17.88903014,21.46683617,25.76020341,30.91224409,37.09469291,44.51363149,53.41635779,64.09962934,76.91955521,92.30346625,110.7641595,132.9169914,159.5003897,191.4004676,5.991,8.3874,10.06488,12.077856,14.4934272,17.39211264,20.87053517,25.0446422,30.05357064,36.06428477,43.27714172,51.93257007,62.31908408,74.7829009,89.73948108,107.6873773,129.2248528,155.0698233,186.083788,223.3005456
5766,129.363,129.363,129.363,129.363,129.363,129.363,129.363,129.363,129.363,129.363,129.363,129.363,129.363,129.363,129.363,129.363,129.363,129.363,129.363,129.363,129.363,155.2356,186.28272,223.539264,268.2471168,321.8965402,386.2758482,463.5310178,556.2372214,667.4846657,800.9815988,961.1779186,1153.413502,1384.096203,1660.915443,1993.098532,2391.718238,2870.061886,3444.074263,4132.889116,129.363,181.1082,217.32984,260.795808,312.9549696,375.5459635,450.6551562,540.7861875,648.943425,778.73211,934.4785319,1121.374238,1345.649086,1614.778903,1937.734684,2325.281621,2790.337945,3348.405534,4018.08664,4821.703969
5767,247.249,247.249,247.249,247.249,247.249,247.249,247.249,247.249,247.249,247.249,247.249,247.249,247.249,247.249,247.249,247.249,247.249,247.249,247.249,247.249,247.249,296.6988,356.03856,427.246272,512.6955264,615.2346317,738.281558,885.9378696,1063.125444,1275.750532,1530.900639,1837.080766,2204.49692,2645.396304,3174.475564,3809.370677,4571.244813,5485.493775,6582.59253,7899.111036,247.249,346.1486,415.37832,498.453984,598.1447808,717.773737,861.3284844,1033.594181,1240.313017,1488.375621,1786.050745,2143.260894,2571.913073,3086.295688,3703.554825,4444.26579,5333.118948,6399.742738,7679.691285,9215.629543
5768,258.533,258.533,258.533,258.533,258.533,258.533,258.533,258.533,258.533,258.533,258.533,258.533,258.533,258.533,258.533,258.533,258.533,258.533,258.533,258.533,258.533,310.2396,372.28752,446.745024,536.0940288,643.3128346,771.9754015,926.3704818,1111.644578,1333.973494,1600.768192,1920.921831,2305.106197,2766.127437,3319.352924,3983.223509,4779.86821,5735.841853,6883.010223,8259.612268,258.533,361.9462,434.33544,521.202528,625.4430336,750.5316403,900.6379684,1080.765562,1296.918674,1556.302409,1867.562891,2241.075469,2689.290563,3227.148676,3872.578411,4647.094094,5576.512912,6691.815495,8030.178594,9636.214312
5769,206.256,206.256,206.256,206.256,206.256,206.256,206.256,206.256,206.256,206.256,206.256,206.256,206.256,206.256,206.256,206.256,206.256,206.256,206.256,206.256,206.256,247.5072,297.00864,356.410368,427.6924416,513.2309299,615.8771159,739.0525391,886.8630469,1064.235656,1277.082788,1532.499345,1838.999214,2206.799057,2648.158868,3177.790642,3813.34877,4576.018524,5491.222229,6589.466675,206.256,288.7584,346.51008,415.812096,498.9745152,598.7694182,718.5233019,862.2279623,1034.673555,1241.608266,1489.929919,1787.915903,2145.499083,2574.5989,3089.51868,3707.422416,4448.906899,5338.688278,6406.425934,7687.711121
5770,143.449,143.449,143.449,143.449,143.449,143.449,143.449,143.449,143.449,143.449,143.449,143.449,143.449,143.449,143.449,143.449,143.449,143.449,143.449,143.449,143.449,172.1388,206.56656,247.879872,297.4558464,356.9470157,428.3364188,514.0037026,616.8044431,740.1653317,888.1983981,1065.838078,1279.005693,1534.806832,1841.768198,2210.121838,2652.146205,3182.575447,3819.090536,4582.908643,143.449,200.8286,240.99432,289.193184,347.0318208,416.438185,499.725822,599.6709863,719.6051836,863.5262203,1036.231464,1243.477757,1492.173309,1790.60797,2148.729565,2578.475477,3094.170573,3713.004688,4455.605625,5346.72675
5771,9.425,9.425,9.425,9.425,9.425,9.425,9.425,9.425,9.425,9.425,9.425,9.425,9.425,9.425,9.425,9.425,9.425,9.425,9.425,9.425,9.425,11.31,13.572,16.2864,19.54368,23.452416,28.1428992,33.77147904,40.52577485,48.63092982,58.35711578,70.02853894,84.03424672,100.8410961,121.0093153,145.2111783,174.253414,209.1040968,250.9249162,301.1098994,9.425,13.195,15.834,19.0008,22.80096,27.361152,32.8333824,39.40005888,47.28007066,56.73608479,68.08330174,81.69996209,98.03995451,117.6479454,141.1775345,169.4130414,203.2956497,243.9547796,292.7457355,351.2948826
5772,93.472,93.472,93.472,93.472,93.472,93.472,93.472,93.472,93.472,93.472,93.472,93.472,93.472,93.472,93.472,93.472,93.472,93.472,93.472,93.472,93.472,112.1664,134.59968,161.519616,193.8235392,232.588247,279.1058964,334.9270757,401.9124909,482.2949891,578.7539869,694.5047842,833.4057411,1000.086889,1200.104267,1440.125121,1728.150145,2073.780174,2488.536208,2986.24345,93.472,130.8608,157.03296,188.439552,226.1274624,271.3529549,325.6235459,390.748255,468.897906,562.6774872,675.2129847,810.2555816,972.3066979,1166.768038,1400.121645,1680.145974,2016.175169,2419.410203,2903.292243,3483.950692
5773,100.744,100.744,100.744,100.744,100.744,100.744,100.744,100.744,100.744,100.744,100.744,100.744,100.744,100.744,100.744,100.744,100.744,100.744,100.744,100.744,100.744,120.8928,145.07136,174.085632,208.9027584,250.6833101,300.8199721,360.9839665,433.1807598,519.8169118,623.7802941,748.536353,898.2436236,1077.892348,1293.470818,1552.164982,1862.597978,2235.117573,2682.141088,3218.569306,100.744,141.0416,169.24992,203.099904,243.7198848,292.4638618,350.9566341,421.1479609,505.3775531,606.4530637,727.7436765,873.2924118,1047.950894,1257.541073,1509.049288,1810.859145,2173.030974,2607.637169,3129.164603,3754.997523
5774,91.032,91.032,91.032,91.032,91.032,91.032,91.032,91.032,91.032,91.032,91.032,91.032,91.032,91.032,91.032,91.032,91.032,91.032,91.032,91.032,91.032,109.2384,131.08608,157.303296,188.7639552,226.5167462,271.8200955,326.1841146,391.4209375,469.705125,563.64615,676.37538,811.650456,973.9805472,1168.776657,1402.531988,1683.038386,2019.646063,2423.575275,2908.29033,91.032,127.4448,152.93376,183.520512,220.2246144,264.2695373,317.1234447,380.5481337,456.6577604,547.9893125,657.587175,789.10461,946.925532,1136.310638,1363.572766,1636.287319,1963.544783,2356.25374,2827.504488,3393.005385
5775,119.228,119.228,119.228,119.228,119.228,119.228,119.228,119.228,119.228,119.228,119.228,119.228,119.228,119.228,119.228,119.228,119.228,119.228,119.228,119.228,119.228,143.0736,171.68832,206.025984,247.2311808,296.677417,356.0129004,427.2154804,512.6585765,615.1902918,738.2283502,885.8740202,1063.048824,1275.658589,1530.790307,1836.948368,2204.338042,2645.20565,3174.24678,3809.096136,119.228,166.9192,200.30304,240.363648,288.4363776,346.1236531,415.3483837,498.4180605,598.1016726,717.7220071,861.2664085,1033.51969,1240.223628,1488.268354,1785.922025,2143.10643,2571.727716,3086.073259,3703.28791,4443.945493
5776,161.691,161.691,161.691,161.691,161.691,161.691,161.691,161.691,161.691,161.691,161.691,161.691,161.691,161.691,161.691,161.691,161.691,161.691,161.691,161.691,161.691,194.0292,232.83504,279.402048,335.2824576,402.3389491,482.8067389,579.3680867,695.2417041,834.2900449,1001.148054,1201.377665,1441.653198,1729.983837,2075.980605,2491.176725,2989.41207,3587.294485,4304.753382,5165.704058,161.691,226.3674,271.64088,325.969056,391.1628672,469.3954406,563.2745288,675.9294345,811.1153214,973.3383857,1168.006063,1401.607275,1681.928731,2018.314477,2421.977372,2906.372846,3487.647416,4185.176899,5022.212278,6026.654734
5777,195.244,195.244,195.244,195.244,195.244,195.244,195.244,195.244,195.244,195.244,195.244,195.244,195.244,195.244,195.244,195.244,195.244,195.244,195.244,195.244,195.244,234.2928,281.15136,337.381632,404.8579584,485.8295501,582.9954601,699.5945521,839.5134625,1007.416155,1208.899386,1450.679263,1740.815116,2088.978139,2506.773767,3008.12852,3609.754224,4331.705069,5198.046083,6237.6553,195.244,273.3416,328.00992,393.611904,472.3342848,566.8011418,680.1613701,816.1936441,979.432373,1175.318848,1410.382617,1692.45914,2030.950969,2437.141162,2924.569395,3509.483274,4211.379928,5053.655914,6064.387097,7277.264516
5778,247.049,247.049,247.049,247.049,247.049,247.049,247.049,247.049,247.049,247.049,247.049,247.049,247.049,247.049,247.049,247.049,247.049,247.049,247.049,247.049,247.049,296.4588,355.75056,426.900672,512.2808064,614.7369677,737.6843612,885.2212335,1062.26548,1274.718576,1529.662291,1835.59475,2202.7137,2643.25644,3171.907727,3806.289273,4567.547128,5481.056553,6577.267864,7892.721436,247.049,345.8686,415.04232,498.050784,597.6609408,717.193129,860.6317548,1032.758106,1239.309727,1487.171672,1784.606007,2141.527208,2569.83265,3083.799179,3700.559015,4440.670818,5328.804982,6394.565979,7673.479174,9208.175009
5779,26.516,26.516,26.516,26.516,26.516,26.516,26.516,26.516,26.516,26.516,26.516,26.516,26.516,26.516,26.516,26.516,26.516,26.516,26.516,26.516,26.516,31.8192,38.18304,45.819648,54.9835776,65.98029312,79.17635174,95.01162209,114.0139465,136.8167358,164.180083,197.0160996,236.4193195,283.7031834,340.4438201,408.5325841,490.2391009,588.2869211,705.9443053,847.1331663,26.516,37.1224,44.54688,53.456256,64.1475072,76.97700864,92.37241037,110.8468924,133.0162709,159.6195251,191.5434301,229.8521162,275.8225394,330.9870473,397.1844567,476.6213481,571.9456177,686.3347412,823.6016895,988.3220274
5780,238.817,238.817,238.817,238.817,238.817,238.817,238.817,238.817,238.817,238.817,238.817,238.817,238.817,238.817,238.817,238.817,238.817,238.817,238.817,238.817,238.817,286.5804,343.89648,412.675776,495.2109312,594.2531174,713.1037409,855.7244891,1026.869387,1232.243264,1478.691917,1774.430301,2129.316361,2555.179633,3066.215559,3679.458671,4415.350406,5298.420487,6358.104584,7629.725501,238.817,334.3438,401.21256,481.455072,577.7460864,693.2953037,831.9543644,998.3452373,1198.014285,1437.617142,1725.14057,2070.168684,2484.202421,2981.042905,3577.251486,4292.701783,5151.24214,6181.490568,7417.788681,8901.346418
5781,159.945,159.945,159.945,159.945,159.945,159.945,159.945,159.945,159.945,159.945,159.945,159.945,159.945,159.945,159.945,159.945,159.945,159.945,159.945,159.945,159.945,191.934,230.3208,276.38496,331.661952,397.9943424,477.5932109,573.1118531,687.7342237,825.2810684,990.3372821,1188.404738,1426.085686,1711.302823,2053.563388,2464.276066,2957.131279,3548.557535,4258.269042,5109.92285,159.945,223.923,268.7076,322.44912,386.938944,464.3267328,557.1920794,668.6304952,802.3565943,962.8279131,1155.393496,1386.472195,1663.766634,1996.519961,2395.823953,2874.988743,3449.986492,4139.98379,4967.980549,5961.576658
5782,72.477,72.477,72.477,72.477,72.477,72.477,72.477,72.477,72.477,72.477,72.477,72.477,72.477,72.477,72.477,72.477,72.477,72.477,72.477,72.477,72.477,86.9724,104.36688,125.240256,150.2883072,180.3459686,216.4151624,259.6981948,311.6378338,373.9654006,448.7584807,538.5101768,646.2122122,775.4546546,930.5455856,1116.654703,1339.985643,1607.982772,1929.579326,2315.495191,72.477,101.4678,121.76136,146.113632,175.3363584,210.4036301,252.4843561,302.9812273,363.5774728,436.2929673,523.5515608,628.261873,753.9142476,904.6970971,1085.636516,1302.76382,1563.316584,1875.9799,2251.175881,2701.411057
5783,20.776,20.776,20.776,20.776,20.776,20.776,20.776,20.776,20.776,20.776,20.776,20.776,20.776,20.776,20.776,20.776,20.776,20.776,20.776,20.776,20.776,24.9312,29.91744,35.900928,43.0811136,51.69733632,62.03680358,74.4441643,89.33299716,107.1995966,128.6395159,154.3674191,185.2409029,222.2890835,266.7469002,320.0962802,384.1155363,460.9386435,553.1263722,663.7516467,20.776,29.0864,34.90368,41.884416,50.2612992,60.31355904,72.37627085,86.85152502,104.22183,125.066196,150.0794352,180.0953223,216.1143867,259.3372641,311.2047169,373.4456603,448.1347923,537.7617508,645.314101,774.3769211
5784,19.558,19.558,19.558,19.558,19.558,19.558,19.558,19.558,19.558,19.558,19.558,19.558,19.558,19.558,19.558,19.558,19.558,19.558,19.558,19.558,19.558,23.4696,28.16352,33.796224,40.5554688,48.66656256,58.39987507,70.07985009,84.0958201,100.9149841,121.0979809,145.3175771,174.3810926,209.2573111,251.1087733,301.330528,361.5966335,433.9159603,520.6991523,624.8389828,19.558,27.3812,32.85744,39.428928,47.3147136,56.77765632,68.13318758,81.7598251,98.11179012,117.7341481,141.2809778,169.5371733,203.444608,244.1335296,292.9602355,351.5522826,421.8627391,506.235287,607.4823444,728.9788132
5785,42.501,42.501,42.501,42.501,42.501,42.501,42.501,42.501,42.501,42.501,42.501,42.501,42.501,42.501,42.501,42.501,42.501,42.501,42.501,42.501,42.501,51.0012,61.20144,73.441728,88.1300736,105.7560883,126.907306,152.2887672,182.7465206,219.2958247,263.1549897,315.7859876,378.9431852,454.7318222,545.6781866,654.8138239,785.7765887,942.9319065,1131.518288,1357.821945,42.501,59.5014,71.40168,85.682016,102.8184192,123.382103,148.0585236,177.6702284,213.2042741,255.8451289,307.0141546,368.4169856,442.1003827,530.5204592,636.6245511,763.9494613,916.7393535,1100.087224,1320.104669,1584.125603
5786,45.024,45.024,45.024,45.024,45.024,45.024,45.024,45.024,45.024,45.024,45.024,45.024,45.024,45.024,45.024,45.024,45.024,45.024,45.024,45.024,45.024,54.0288,64.83456,77.801472,93.3617664,112.0341197,134.4409436,161.3291323,193.5949588,232.3139506,278.7767407,334.5320888,401.4385066,481.7262079,578.0714495,693.6857394,832.4228872,998.9074647,1198.688958,1438.426749,45.024,63.0336,75.64032,90.768384,108.9220608,130.706473,156.8477676,188.2173211,225.8607853,271.0329423,325.2395308,390.287437,468.3449243,562.0139092,674.4166911,809.3000293,971.1600351,1165.392042,1398.470451,1678.164541
5787,5.258,5.258,5.258,5.258,5.258,5.258,5.258,5.258,5.258,5.258,5.258,5.258,5.258,5.258,5.258,5.258,5.258,5.258,5.258,5.258,5.258,6.3096,7.57152,9.085824,10.9029888,13.08358656,15.70030387,18.84036465,22.60843758,27.13012509,32.55615011,39.06738013,46.88085616,56.25702739,67.50843287,81.01011944,97.21214333,116.654572,139.9854864,167.9825837,5.258,7.3612,8.83344,10.600128,12.7201536,15.26418432,18.31702118,21.98042542,26.3765105,31.65181261,37.98217513,45.57861015,54.69433218,65.63319862,78.75983834,94.51180601,113.4141672,136.0970007,163.3164008,195.9796809
5788,52.968,52.968,52.968,52.968,52.968,52.968,52.968,52.968,52.968,52.968,52.968,52.968,52.968,52.968,52.968,52.968,52.968,52.968,52.968,52.968,52.968,63.5616,76.27392,91.528704,109.8344448,131.8013338,158.1616005,189.7939206,227.7527047,273.3032457,327.9638948,393.5566738,472.2680085,566.7216103,680.0659323,816.0791188,979.2949425,1175.153931,1410.184717,1692.221661,52.968,74.1552,88.98624,106.783488,128.1401856,153.7682227,184.5218673,221.4262407,265.7114889,318.8537866,382.624544,459.1494528,550.9793433,661.175212,793.4102544,952.0923052,1142.510766,1371.01292,1645.215503,1974.258604
5789,62.413,62.413,62.413,62.413,62.413,62.413,62.413,62.413,62.413,62.413,62.413,62.413,62.413,62.413,62.413,62.413,62.413,62.413,62.413,62.413,62.413,74.8956,89.87472,107.849664,129.4195968,155.3035162,186.3642194,223.6370633,268.3644759,322.0373711,386.4448453,463.7338144,556.4805773,667.7766927,801.3320313,961.5984375,1153.918125,1384.70175,1661.6421,1993.97052,62.413,87.3782,104.85384,125.824608,150.9895296,181.1874355,217.4249226,260.9099071,313.0918886,375.7102663,450.8523196,541.0227835,649.2273402,779.0728082,934.8873698,1121.864844,1346.237813,1615.485375,1938.58245,2326.29894
5790,118.376,118.376,118.376,118.376,118.376,118.376,118.376,118.376,118.376,118.376,118.376,118.376,118.376,118.376,118.376,118.376,118.376,118.376,118.376,118.376,118.376,142.0512,170.46144,204.553728,245.4644736,294.5573683,353.468842,424.1626104,508.9951325,610.7941589,732.9529907,879.5435889,1055.452307,1266.542768,1519.851322,1823.821586,2188.585903,2626.303084,3151.5637,3781.876441,118.376,165.7264,198.87168,238.646016,286.3752192,343.650263,412.3803156,494.8563788,593.8276545,712.5931854,855.1118225,1026.134187,1231.361024,1477.633229,1773.159875,2127.79185,2553.35022,3064.020264,3676.824317,4412.189181
5791,225.395,225.395,225.395,225.395,225.395,225.395,225.395,225.395,225.395,225.395,225.395,225.395,225.395,225.395,225.395,225.395,225.395,225.395,225.395,225.395,225.395,270.474,324.5688,389.48256,467.379072,560.8548864,673.0258637,807.6310364,969.1572437,1162.988692,1395.586431,1674.703717,2009.644461,2411.573353,2893.888023,3472.665628,4167.198753,5000.638504,6000.766205,7200.919446,225.395,315.553,378.6636,454.39632,545.275584,654.3307008,785.196841,942.2362092,1130.683451,1356.820141,1628.184169,1953.821003,2344.585204,2813.502245,3376.202694,4051.443232,4861.731879,5834.078255,7000.893906,8401.072687
5792,271.296,271.296,271.296,271.296,271.296,271.296,271.296,271.296,271.296,271.296,271.296,271.296,271.296,271.296,271.296,271.296,271.296,271.296,271.296,271.296,271.296,325.5552,390.66624,468.799488,562.5593856,675.0712627,810.0855153,972.1026183,1166.523142,1399.82777,1679.793324,2015.751989,2418.902387,2902.682865,3483.219438,4179.863325,5015.83599,6019.003188,7222.803826,8667.364591,271.296,379.8144,455.77728,546.932736,656.3192832,787.5831398,945.0997678,1134.119721,1360.943666,1633.132399,1959.758879,2351.710654,2822.052785,3386.463342,4063.756011,4876.507213,5851.808655,7022.170386,8426.604463,10111.92536
5793,241.467,241.467,241.467,241.467,241.467,241.467,241.467,241.467,241.467,241.467,241.467,241.467,241.467,241.467,241.467,241.467,241.467,241.467,241.467,241.467,241.467,289.7604,347.71248,417.254976,500.7059712,600.8471654,721.0165985,865.2199182,1038.263902,1245.916682,1495.100019,1794.120022,2152.944027,2583.532832,3100.239399,3720.287279,4464.344734,5357.213681,6428.656417,7714.387701,241.467,338.0538,405.66456,486.797472,584.1569664,700.9883597,841.1860316,1009.423238,1211.307886,1453.569463,1744.283355,2093.140026,2511.768031,3014.121638,3616.945965,4340.335158,5208.40219,6250.082628,7500.099154,9000.118984
5794,145.737,145.737,145.737,145.737,145.737,145.737,145.737,145.737,145.737,145.737,145.737,145.737,145.737,145.737,145.737,145.737,145.737,145.737,145.737,145.737,145.737,174.8844,209.86128,251.833536,302.2002432,362.6402918,435.1683502,522.2020202,626.6424243,751.9709092,902.365091,1082.838109,1299.405731,1559.286877,1871.144253,2245.373103,2694.447724,3233.337269,3880.004722,4656.005667,145.737,204.0318,244.83816,293.805792,352.5669504,423.0803405,507.6964086,609.2356903,731.0828283,877.299394,1052.759273,1263.311127,1515.973353,1819.168023,2183.001628,2619.601954,3143.522345,3772.226813,4526.672176,5432.006611
5795,113.335,113.335,113.335,113.335,113.335,113.335,113.335,113.335,113.335,113.335,113.335,113.335,113.335,113.335,113.335,113.335,113.335,113.335,113.335,113.335,113.335,136.002,163.2024,195.84288,235.011456,282.0137472,338.4164966,406.099796,487.3197552,584.7837062,701.7404474,842.0885369,1010.506244,1212.607493,1455.128992,1746.15479,2095.385748,2514.462898,3017.355477,3620.826573,113.335,158.669,190.4028,228.48336,274.180032,329.0160384,394.8192461,473.7830953,568.5397144,682.2476572,818.6971887,982.4366264,1178.923952,1414.708742,1697.65049,2037.180589,2444.616706,2933.540047,3520.248057,4224.297668
5796,98.397,98.397,98.397,98.397,98.397,98.397,98.397,98.397,98.397,98.397,98.397,98.397,98.397,98.397,98.397,98.397,98.397,98.397,98.397,98.397,98.397,118.0764,141.69168,170.030016,204.0360192,244.843223,293.8118676,352.5742412,423.0890894,507.7069073,609.2482888,731.0979465,877.3175358,1052.781043,1263.337252,1516.004702,1819.205642,2183.046771,2619.656125,3143.58735,98.397,137.7558,165.30696,198.368352,238.0420224,285.6504269,342.7805123,411.3366147,493.6039376,592.3247252,710.7896702,852.9476043,1023.537125,1228.24455,1473.89346,1768.672152,2122.406583,2546.887899,3056.265479,3667.518575
5797,10.566,10.566,10.566,10.566,10.566,10.566,10.566,10.566,10.566,10.566,10.566,10.566,10.566,10.566,10.566,10.566,10.566,10.566,10.566,10.566,10.566,12.6792,15.21504,18.258048,21.9096576,26.29158912,31.54990694,37.85988833,45.431866,54.5182392,65.42188704,78.50626445,94.20751734,113.0490208,135.658825,162.79059,195.3487079,234.4184495,281.3021394,337.5625673,10.566,14.7924,17.75088,21.301056,25.5612672,30.67352064,36.80822477,44.16986972,53.00384367,63.6046124,76.32553488,91.59064185,109.9087702,131.8905243,158.2686291,189.9223549,227.9068259,273.4881911,328.1858294,393.8229952
5798,105.608,105.608,105.608,105.608,105.608,105.608,105.608,105.608,105.608,105.608,105.608,105.608,105.608,105.608,105.608,105.608,105.608,105.608,105.608,105.608,105.608,126.7296,152.07552,182.490624,218.9887488,262.7864986,315.3437983,378.4125579,454.0950695,544.9140834,653.8969001,784.6762801,941.6115361,1129.933843,1355.920612,1627.104734,1952.525681,2343.030818,2811.636981,3373.964377,105.608,147.8512,177.42144,212.905728,255.4868736,306.5842483,367.901098,441.4813176,529.7775811,635.7330973,762.8797168,915.4556601,1098.546792,1318.256151,1581.907381,1898.288857,2277.946628,2733.535954,3280.243145,3936.291774
5799,135.776,135.776,135.776,135.776,135.776,135.776,135.776,135.776,135.776,135.776,135.776,135.776,135.776,135.776,135.776,135.776,135.776,135.776,135.776,135.776,135.776,162.9312,195.51744,234.620928,281.5451136,337.8541363,405.4249636,486.5099563,583.8119476,700.5743371,840.6892045,1008.827045,1210.592454,1452.710945,1743.253134,2091.903761,2510.284514,3012.341416,3614.8097,4337.771639,135.776,190.0864,228.10368,273.724416,328.4692992,394.163159,472.9957908,567.594949,681.1139388,817.3367266,980.8040719,1176.964886,1412.357864,1694.829436,2033.795323,2440.554388,2928.665266,3514.398319,4217.277983,5060.733579
5800,142.857,142.857,142.857,142.857,142.857,142.857,142.857,142.857,142.857,142.857,142.857,142.857,142.857,142.857,142.857,142.857,142.857,142.857,142.857,142.857,142.857,171.4284,205.71408,246.856896,296.2282752,355.4739302,426.5687163,511.8824595,614.2589515,737.1107417,884.5328901,1061.439468,1273.727362,1528.472834,1834.167401,2201.000881,2641.201057,3169.441269,3803.329523,4563.995427,142.857,199.9998,239.99976,287.999712,345.5996544,414.7195853,497.6635023,597.1962028,716.6354434,859.962532,1031.955038,1238.346046,1486.015255,1783.218306,2139.861968,2567.834361,3081.401234,3697.68148,4437.217776,5324.661332
5801,191.932,191.932,191.932,191.932,191.932,191.932,191.932,191.932,191.932,191.932,191.932,191.932,191.932,191.932,191.932,191.932,191.932,191.932,191.932,191.932,191.932,230.3184,276.38208,331.658496,397.9901952,477.5882342,573.1058811,687.7270573,825.2724688,990.3269625,1188.392355,1426.070826,1711.284991,2053.541989,2464.250387,2957.100465,3548.520558,4258.224669,5109.869603,6131.843524,191.932,268.7048,322.44576,386.934912,464.3218944,557.1862733,668.6235279,802.3482335,962.8178802,1155.381456,1386.457748,1663.749297,1996.499156,2395.798988,2874.958785,3449.950542,4139.940651,4967.928781,5961.514537,7153.817445
