meta,low_demand,low_demand,low_demand,low_demand,low_demand,low_demand,low_demand,low_demand,low_demand,low_demand,base_demand,base_demand,base_demand,base_demand,base_demand,base_demand,base_demand,base_demand,base_demand,base_demand,high_demand,high_demand,high_demand,high_demand,high_demand,high_demand,high_demand,high_demand,high_demand,high_demand
59,127.076,130.2529,133.5092225,136.8469531,140.2681269,143.7748301,147.3692008,151.0534308,154.8297666,158.7005108,127.076,133.4298,136.765545,140.1846836,143.6893007,147.2815332,150.9635716,154.7376609,158.6061024,162.5712549,127.076,136.6067,140.0218675,143.5224142,147.1104745,150.7882364,154.5579423,158.4218909,162.3824381,166.4419991
60,95.396,97.7809,100.2254225,102.7310581,105.2993345,107.9318179,110.6301133,113.3958662,116.2307628,119.1365319,95.396,100.1658,102.669945,105.2366936,107.867611,110.5643012,113.3284088,116.161619,119.0656595,122.042301,95.396,102.5507,105.1144675,107.7423292,110.4358874,113.1967846,116.0267042,118.9273718,121.9005561,124.94807
61,84.245,86.351125,88.50990313,90.7226507,92.99071697,95.31548489,97.69837202,100.1408313,102.6443521,105.2104609,84.245,88.45725,90.66868125,92.93539828,95.25878324,97.64025282,100.0812591,102.5832906,105.1478729,107.7765697,84.245,90.563375,92.82745938,95.14814586,97.52684951,99.96502074,102.4641463,105.0257499,107.6513937,110.3426785
62,97.763,100.207075,102.7122519,105.2800582,107.9120596,110.6098611,113.3751076,116.2094853,119.1147225,122.0925905,97.763,102.65115,105.2174288,107.8478645,110.5440611,113.3076626,116.1403542,119.043863,122.0199596,125.0704586,97.763,105.095225,107.7226056,110.4156708,113.1760625,116.0054641,118.9056007,121.8782407,124.9251967,128.0483267
63,117.283,120.215075,123.2204519,126.3009632,129.4584873,132.6949494,136.0123232,139.4126312,142.897947,146.4703957,117.283,123.14715,126.2258288,129.3814745,132.6160113,135.9314116,139.3296969,142.8129393,146.3832628,150.0428444,117.283,126.079225,129.2312056,132.4619858,135.7735354,139.1678738,142.6470706,146.2132474,149.8685786,153.6152931
64,137.068,140.4947,144.0070675,147.6072442,151.2974253,155.0798609,158.9568574,162.9307789,167.0040484,171.1791496,137.068,143.9214,147.519435,151.2074209,154.9876064,158.8622966,162.833854,166.9047003,171.0773178,175.3542508,137.068,147.3481,151.0318025,154.8075976,158.6777875,162.6447322,166.7108505,170.8786218,175.1505873,179.529352
65,187.828,192.5237,197.3367925,202.2702123,207.3269676,212.5101418,217.8228954,223.2684677,228.8501794,234.5714339,187.828,197.2194,202.149885,207.2036321,212.3837229,217.693316,223.1356489,228.7140401,234.4318911,240.2926884,187.828,201.9151,206.9629775,212.1370519,217.4404782,222.8764902,228.4484024,234.1596125,240.0136028,246.0139429
66,255.293,261.675325,268.2172081,274.9226383,281.7957043,288.8405969,296.0616118,303.4631521,311.0497309,318.8259742,255.293,268.05765,274.7590913,281.6280685,288.6687702,295.8854895,303.2826267,310.8646924,318.6363097,326.6022175,255.293,274.439975,281.3009744,288.3334987,295.5418362,302.9303821,310.5036417,318.2662327,326.2228885,334.3784607
67,28.536,29.2494,29.980635,30.73015088,31.49840465,32.28586476,33.09301138,33.92033667,34.76834508,35.63755371,28.536,29.9628,30.71187,31.47966675,32.26665842,33.07332488,33.900158,34.74766195,35.6163535,36.50676234,28.536,30.6762,31.443105,32.22918263,33.03491219,33.860785,34.70730462,35.57498724,36.46436192,37.37597096
68,234.155,240.008875,246.0090969,252.1593243,258.4633074,264.9248901,271.5480123,278.3367127,285.2951305,292.4275087,234.155,245.86275,252.0093188,258.3095517,264.7672905,271.3864728,278.1711346,285.125413,292.2535483,299.559887,234.155,251.716625,258.0095406,264.4597791,271.0712736,277.8480555,284.7942568,291.9141133,299.2119661,306.6922653
69,164.486,168.59815,172.8131038,177.1334313,181.5617671,186.1008113,190.7533316,195.5221649,200.410219,205.4204745,164.486,172.7103,177.0280575,181.4537589,185.9901029,190.6398555,195.4058519,200.2909982,205.2982731,210.4307299,164.486,176.82245,181.2430113,185.7740865,190.4184387,195.1788997,200.0583722,205.0598315,210.1863272,215.4409854
