meta,scenario_1
hour,typical_year
,Solar
1410,0.033717205
1411,0
1412,0
1413,0
1414,0
1415,0
1416,0
1417,0
1418,0
1419,0
1420,0
1421,0
1422,0
1423,0.083905342
1424,0.296436049
1425,0.569584295
1426,0.725939303
1427,0.818658356
1428,0.865887282
1429,0.853946594
1430,0.772752038
1431,0.635202425
1432,0.451955312
1433,0.221434879
1434,0.023868494
1435,0
1436,0
1437,0
1438,0
1439,0
1440,0
1441,0
1442,0
1443,0
1444,0
1445,0
1446,0
1447,0.020794983
1448,0.303367258
1449,0.528063877
1450,0.67869487
1451,0.813435127
1452,0.847060078
1453,0.811499172
1454,0.737074136
1455,0.63495637
1456,0.461474091
1457,0.242718814
1458,0.02390735
1459,0
1460,0
1461,0
1462,0
1463,0
1464,0
1465,0
1466,0
1467,0
1468,0
1469,0
1470,0
1471,0.097039733
1472,0.326305378
1473,0.540231247
1474,0.697451823
1475,0.80059384
1476,0.863256486
1477,0.836449234
1478,0.770584261
1479,0.631662956
1480,0.463382747
1481,0.244019212
1482,0.02184449
1483,0
1484,0
1485,0
1486,0
1487,0
1488,0
1489,0
1490,0
1491,0
1492,0
1493,0
1494,0
1495,0.10924133
1496,0.352605364
1497,0.55942545
1498,0.727195992
1499,0.828121832
1500,0.870898658
1501,0.854851808
1502,0.783580824
1503,0.652979566
1504,0.467454457
1505,0.245657197
1506,0.022792076
1507,0
1508,0
1509,0
1510,0
1511,0
1512,0
1513,0
1514,0
1515,0
1516,0
1517,0
1518,0
1519,0.112723473
1520,0.348222253
1521,0.572365531
1522,0.734482048
1523,0.837989436
1524,0.876522213
1525,0.862744053
1526,0.79014774
1527,0.65851617
1528,0.465195622
1529,0.244105755
1530,0.022707319
1531,0
1532,0
1533,0
1534,0
1535,0
1536,0
1537,0
1538,0
1539,0
1540,0
1541,0
1542,0
1543,0.123004136
1544,0.364876652
1545,0.57542081
1546,0.739545253
1547,0.843755266
1548,0.881481978
1549,0.87091539
1550,0.795313904
1551,0.665734848
1552,0.477342022
1553,0.251035037
1554,0.022735893
1555,0
1556,0
1557,0
1558,0
1559,0
1560,0
1561,0
1562,0
1563,0
1564,0
1565,0
1566,0
1567,0.107393763
1568,0.353315802
1569,0.568779518
1570,0.731853977
1571,0.835356549
1572,0.873041115
1573,0.859225564
1574,0.791021138
1575,0.662238842
1576,0.470472811
1577,0.244099589
1578,0.022754994
1579,0
1580,0
1581,0
1582,0
1583,0
1584,0
1585,0
1586,0
1587,0
1588,0
1589,0
1590,0
1591,0.108050882
1592,0.347823304
1593,0.560713066
1594,0.722470346
1595,0.825662739
1596,0.866180184
1597,0.841336941
1598,0.586580127
1599,0.62654155
1600,0.453404339
1601,0.245108106
1602,0.021868424
1603,0
1604,0
1605,0
1606,0
1607,0
1608,0
1609,0
1610,0
1611,0
1612,0
1613,0
1614,0
1615,0.094268931
1616,0.3290697
1617,0.488215752
1618,0.718217264
1619,0.823723563
1620,0.870185219
1621,0.841425098
1622,0.748501579
1623,0.609926831
1624,0.466222785
1625,0.243264077
1626,0.019977724
1627,0
1628,0
1629,0
1630,0
1631,0
1632,0
1633,0
1634,0
1635,0
1636,0
1637,0
1638,0
1639,0.109559201
1640,0.345030417
1641,0.55599285
1642,0.71844981
1643,0.819902267
1644,0.861991773
1645,0.842893553
1646,0.716799276
1647,0.618472191
1648,0.467415848
1649,0.249741443
1650,0.02187409
1651,0
1652,0
1653,0
1654,0
1655,0
1656,0
1657,0
1658,0
1659,0
1660,0
1661,0
1662,0
1663,0.088981284
1664,0.301276803
1665,0.519321931
1666,0.728151521
1667,0.835152197
1668,0.880813851
1669,0.867033976
1670,0.790655381
1671,0.657755307
1672,0.462420686
1673,0.243095668
1674,0.021883653
1675,0
1676,0
1677,0
1678,0
1679,0
1680,0
1681,0
1682,0
1683,0
1684,0
1685,0
1686,0
1687,0.129913107
1688,0.3724809
1689,0.582927769
1690,0.726003407
1691,0.83829603
1692,0.887547505
1693,0.87313745
1694,0.785705017
1695,0.666070924
1696,0.464155138
1697,0.265066237
1698,0.02094912
1699,0
1700,0
1701,0
1702,0
1703,0
1704,0
1705,0
1706,0
1707,0
1708,0
1709,0
1710,0
1711,0.119105727
1712,0.233659768
1713,0.322220294
1714,0.631729128
1715,0.829030146
1716,0.884912998
1717,0.866727969
1718,0.793950948
1719,0.663466052
1720,0.471491988
1721,0.247653255
1722,0.020877498
1723,0
1724,0
1725,0
1726,0
1727,0
1728,0
1729,0
1730,0
1731,0
1732,0
1733,0
1734,0
1735,0.126540494
1736,0.344979656
1737,0.516448979
1738,0.712502154
1739,0.838007872
1740,0.878330213
1741,0.864055952
1742,0.79052328
1743,0.658745098
1744,0.465468379
1745,0.246796167
1746,0.020858885
1747,0
1748,0
1749,0
1750,0
1751,0
1752,0
1753,0
1754,0
1755,0
1756,0
1757,0
1758,0
1759,0.012854845
1760,0.194752595
1761,0.43526614
1762,0.603013403
1763,0.767845594
1764,0.853267282
1765,0.865213873
1766,0.79166867
1767,0.661004095
1768,0.466633028
1769,0.247429045
1770,0.019915833
1771,0
1772,0
1773,0
1774,0
1775,0
1776,0
1777,0
1778,0
1779,0
1780,0
1781,0
1782,0
1783,0.114992533
1784,0.358948015
1785,0.574713149
1786,0.739016702
1787,0.836831101
1788,0.880970008
1789,0.866353397
1790,0.785756346
1791,0.650691831
1792,0.461299723
1793,0.246989531
1794,0.019018507
1795,0
1796,0
1797,0
1798,0
1799,0
1800,0
1801,0
1802,0
