meta,scenario_1
hour,typical_year
648,0.4376043
649,0.48655405
650,0.582302783
651,1.998822433
652,8.014224717
653,7.792108583
654,3.801647633
655,13.62853932
656,36.76033185
657,61.92612829
658,78.14262415
659,47.88742939
660,33.16529988
661,65.91201111
662,35.56356599
663,19.28471639
664,11.64963154
665,8.181810442
666,8.6978609
667,10.88905917
668,10.3882771
669,9.363709033
670,8.523943467
671,6.4897798
672,0.4380024
673,0.45186895
674,0.5224044
675,1.260339533
676,7.046505067
677,7.468554333
678,3.153674133
679,12.53119922
680,56.07586277
681,61.34217638
682,76.64938768
683,38.33520728
684,31.99993342
685,62.5587021
686,43.59155425
687,18.89530664
688,14.55175766
689,5.88758475
690,7.88102735
691,9.228311583
692,9.63529045
693,8.7267932
694,8.049157217
695,6.888659867
696,0.440202267
697,0.445201917
698,0.489535317
699,0.945804333
700,6.509572817
701,6.88600945
702,2.243758883
703,3.579129428
704,34.85889817
705,43.70409249
706,42.38840875
707,17.75025574
708,10.01547946
709,43.80942066
710,23.95502941
711,4.271870222
712,3.691939537
713,4.479024683
714,7.720890633
715,9.20197165
716,8.672839917
717,8.116324533
718,7.974374617
719,7.153673817
720,0.427802817
721,0.477601083
722,0.472601583
723,0.679136233
724,6.609671
725,6.803873017
726,3.054640083
727,4.183314063
728,31.19196371
729,60.19059023
730,44.11734736
731,14.40980235
732,5.180472874
733,41.12191159
734,19.73356755
735,6.522968922
736,3.838268879
737,4.5367091
738,6.773525383
739,8.8921417
740,8.804157367
741,8.460921883
742,7.998687667
743,6.670523567
744,0.429869817
745,0.50611865
746,0.545520783
747,1.089923717
748,7.1401428
749,7.61997635
750,4.285913633
751,12.65622053
752,54.1566756
753,65.63696624
754,68.07518958
755,40.77014707
756,32.72098935
757,71.14599483
758,40.53552701
759,15.37406266
760,11.11628824
761,7.0679684
762,6.648528333
763,9.615075733
764,9.001857967
765,8.073775833
766,7.758509633
767,6.184209383
768,0.429353267
769,0.468986633
770,0.6506541
771,1.32382155
772,7.2270558
773,7.987225717
774,4.00761715
775,18.35329534
776,50.74007476
777,57.8697917
778,66.75809068
779,51.02957375
780,32.68593737
781,69.35381413
782,37.69705792
783,19.3398929
784,10.49600553
785,6.6348348
786,8.601709933
787,9.2420769
788,8.452025633
789,8.599007933
790,7.966075883
791,5.862343383
792,0.423004367
793,0.4689534
794,0.537719367
795,0.931254533
796,7.040653783
797,6.976223667
798,2.61643205
799,10.1325934
800,54.56708964
801,56.04714005
802,76.50559496
803,33.19400199
804,28.58173896
805,67.95386566
806,47.87457001
807,17.25601044
808,10.80928474
809,8.79701645
810,8.389545833
811,8.849312417
812,8.579744033
813,8.268959367
814,7.92799285
815,4.5562604
816,0.438820333
817,0.488502683
818,0.538368983
819,1.456754
820,7.18012335
821,8.032689683
822,3.235296417
823,18.46001671
824,44.28495737
825,72.85223479
826,74.67800566
827,38.1532739
828,25.7885953
829,61.96418975
830,36.06404254
831,19.25438874
832,9.942868392
833,6.210768183
834,8.400961433
835,9.6233946
836,7.918712867
837,8.2587774
838,8.076326333
839,6.360324667
840,0.430203017
841,0.49313445
842,0.535203167
843,1.18080615
844,7.34030645
845,7.923872967
846,3.765945767
847,16.15685673
848,45.50877299
849,75.0721768
850,72.48574892
851,36.93751952
852,26.93475202
853,61.37626842
854,32.27756193
855,14.91381315
856,11.58109405
857,6.962919704
858,7.947827783
859,9.73319265
860,9.124508017
861,8.286123933
862,7.938255517
863,6.3488593
864,0.449869433
865,0.483001217
866,0.4638037
867,0.896072433
868,7.078440867
869,7.11280825
870,2.992509167
871,7.922412776
872,19.19276818
873,35.95507041
874,67.06193843
875,28.88441472
876,5.112707067
877,22.31102049
878,28.13409432
879,5.764013525
880,4.526256656
881,6.103427017
882,6.746140033
883,8.131376033
884,8.588956483
885,8.143391867
886,8.148173183
887,5.746356617
888,0.4368026
889,0.464001417
890,0.475601017
891,1.051802333
892,7.0564736
893,7.706506833
894,2.901139917
895,8.161209225
896,38.94298042
897,60.28615322
898,40.71258045
899,10.96647488
900,9.147436979
901,42.57552848
902,14.02138878
903,5.082427167
904,4.918101132
905,4.993056382
906,8.656090533
907,8.58512605
908,7.751409533
909,8.015540583
910,7.9027398
911,6.132808067
912,0.425602717
913,0.448735583
914,0.560467717
915,1.234352733
916,6.951172633
917,8.10484105
918,4.434141867
919,14.65810306
920,45.17144229
921,69.69766532
922,71.19654324
923,26.10038787
924,26.13849364
925,89.49765331
926,39.89818723
927,15.63407171
928,8.580704921
929,7.460066583
930,9.1367741
931,9.528542117
932,8.916958817
933,9.068758783
934,8.120342217
935,5.592578667
936,0.436204233
937,0.5426521
938,0.518753033
939,1.354004583
940,7.08227325
941,7.47931085
942,3.545447083
943,14.43754121
944,62.25561427
945,77.39341447
946,62.45926832
947,37.05120059
948,28.4337562
949,66.73811709
950,36.15272097
951,18.81518561
952,10.15920973
953,6.283617217
954,7.863643983
955,9.486626833
956,8.2632425
957,8.0322731
958,7.644304333
959,5.1354733
960,0.438802767
961,0.477419317
962,0.5705192
963,1.4575063
964,7.14484095
965,7.689463167
966,4.180649483
967,7.398761373
968,69.87269918
969,86.3200781
970,58.27386322
971,30.24464939
972,29.17264553
973,61.0711733
974,34.43691758
975,17.87665757
976,10.10528125
977,6.627418967
978,7.453464167
979,8.545161133
980,8.6102437
981,8.068825517
982,8.235823067
983,7.566306667
984,0.426469967
985,0.473735233
986,0.496970383
987,1.019472867
988,6.851808383
989,7.334125667
990,3.999842917
991,10.57108326
992,64.40535867
993,74.16006668
994,62.63363631
995,37.63294438
996,34.06684599
997,51.71412485
998,41.67339812
999,19.46870727
1000,9.908068616
1001,5.71319972
1002,8.64199435
1003,9.101158267
1004,8.683126167
1005,7.984093867
1006,7.443874533
1007,5.549391533
1008,0.439719517
1009,0.475451467
1010,0.559520433
1011,1.653904283
1012,7.5711722
1013,8.356108283
1014,4.283278083
1015,11.9379376
1016,34.35058527
1017,58.49481929
1018,68.1691843
1019,42.19348906
1020,28.04126901
1021,75.82639684
1022,55.83098554
1023,20.07150332
1024,11.18004088
1025,6.443803683
1026,8.29681295
1027,8.212617083
1028,7.5600643
1029,8.355861383
1030,8.049208817
1031,5.587542817
1032,0.4256049
1033,0.478203217
1034,0.479503383
1035,1.030386967
1036,6.705970783
1037,6.676773417
1038,2.791708817
1039,8.182375361
1040,38.3138895
1041,63.51301892
1042,42.02029021
1043,12.85551386
1044,3.930736097
1045,47.8168181
1046,12.13480157
1047,5.744038986
1048,5.819674616
1049,5.807149227
1050,9.193619933
1051,9.3645552
1052,8.729124
1053,8.13627315
1054,7.807905117
1055,5.91523985
1056,0.4413027
1057,0.496717967
1058,0.535285683
1059,1.0510044
1060,6.743839383
1061,7.09272325
1062,2.428639417
1063,2.212224267
1064,27.87502758
1065,55.00539163
1066,47.9241957
1067,12.59384008
1068,4.824858717
1069,42.61744768
1070,29.48971744
1071,5.806801416
1072,4.167347892
1073,4.854859517
1074,7.860243283
1075,8.755774967
1076,8.749339583
1077,8.592738233
1078,8.291155083
1079,6.765389983
1080,0.432202383
1081,0.4444021
1082,0.502519
1083,0.759903667
1084,6.872172817
1085,7.511875067
1086,4.386195333
1087,13.30067377
1088,39.56269243
1089,75.71621948
1090,82.35362159
1091,39.66376876
1092,31.53264768
1093,62.70798992
1094,44.56092298
