Periods,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
24,10171.22857,10171.22857,10171.22857,10171.22857,10171.22857,10171.22857,10171.22857,10171.22857,10171.22857,10171.22857,10171.22857,10171.22857,10171.22857,10171.22857,10171.22857,10171.22857,10171.22857,10171.22857,10171.22857,10171.22857
25,3768.375789,3768.375789,3768.375789,3768.375789,3768.375789,3768.375789,3768.375789,3768.375789,3768.375789,3768.375789,3768.375789,3768.375789,3768.375789,3768.375789,3768.375789,3768.375789,3768.375789,3768.375789,3768.375789,3768.375789
26,3897.274003,3897.274003,3897.274003,3897.274003,3897.274003,3897.274003,3897.274003,3897.274003,3897.274003,3897.274003,3897.274003,3897.274003,3897.274003,3897.274003,3897.274003,3897.274003,3897.274003,3897.274003,3897.274003,3897.274003
27,4182.678277,4182.678277,4182.678277,4182.678277,4182.678277,4182.678277,4182.678277,4182.678277,4182.678277,4182.678277,4182.678277,4182.678277,4182.678277,4182.678277,4182.678277,4182.678277,4182.678277,4182.678277,4182.678277,4182.678277
28,4216.563347,4216.563347,4216.563347,4216.563347,4216.563347,4216.563347,4216.563347,4216.563347,4216.563347,4216.563347,4216.563347,4216.563347,4216.563347,4216.563347,4216.563347,4216.563347,4216.563347,4216.563347,4216.563347,4216.563347
29,4296.83186,4296.83186,4296.83186,4296.83186,4296.83186,4296.83186,4296.83186,4296.83186,4296.83186,4296.83186,4296.83186,4296.83186,4296.83186,4296.83186,4296.83186,4296.83186,4296.83186,4296.83186,4296.83186,4296.83186
30,4518.642229,4518.642229,4518.642229,4518.642229,4518.642229,4518.642229,4518.642229,4518.642229,4518.642229,4518.642229,4518.642229,4518.642229,4518.642229,4518.642229,4518.642229,4518.642229,4518.642229,4518.642229,4518.642229,4518.642229
31,5682.396861,5682.396861,5682.396861,5682.396861,5682.396861,5682.396861,5682.396861,5682.396861,5682.396861,5682.396861,5682.396861,5682.396861,5682.396861,5682.396861,5682.396861,5682.396861,5682.396861,5682.396861,5682.396861,5682.396861
32,9254.012061,9254.012061,9254.012061,9254.012061,9254.012061,9254.012061,9254.012061,9254.012061,9254.012061,9254.012061,9254.012061,9254.012061,9254.012061,9254.012061,9254.012061,9254.012061,9254.012061,9254.012061,9254.012061,9254.012061
33,9790.887667,9790.887667,9790.887667,9790.887667,9790.887667,9790.887667,9790.887667,9790.887667,9790.887667,9790.887667,9790.887667,9790.887667,9790.887667,9790.887667,9790.887667,9790.887667,9790.887667,9790.887667,9790.887667,9790.887667
34,7865.771085,7865.771085,7865.771085,7865.771085,7865.771085,7865.771085,7865.771085,7865.771085,7865.771085,7865.771085,7865.771085,7865.771085,7865.771085,7865.771085,7865.771085,7865.771085,7865.771085,7865.771085,7865.771085,7865.771085
35,13227.53249,13227.53249,13227.53249,13227.53249,13227.53249,13227.53249,13227.53249,13227.53249,13227.53249,13227.53249,13227.53249,13227.53249,13227.53249,13227.53249,13227.53249,13227.53249,13227.53249,13227.53249,13227.53249,13227.53249
36,12053.78021,12053.78021,12053.78021,12053.78021,12053.78021,12053.78021,12053.78021,12053.78021,12053.78021,12053.78021,12053.78021,12053.78021,12053.78021,12053.78021,12053.78021,12053.78021,12053.78021,12053.78021,12053.78021,12053.78021
37,8842.039895,8842.039895,8842.039895,8842.039895,8842.039895,8842.039895,8842.039895,8842.039895,8842.039895,8842.039895,8842.039895,8842.039895,8842.039895,8842.039895,8842.039895,8842.039895,8842.039895,8842.039895,8842.039895,8842.039895
