;1;2
191;0;3195,86277
192;0;1955,016984
193;0;611,2725307
194;0;631,580342
195;0;482,1896309
196;0;2215,332692
197;0;4204,840947
198;0;8096,424858
199;4;9533,690911
200;137;8138,75334
201;316;6989,338565
202;476;5890,144261
203;580;5858,89628
204;651;5166,414463
205;680;3854,326059
206;674;2578,292337
207;631;737,9891673
208;497;262,7098938
209;320;30,78535157
210;138;0
211;6;18,17957377
212;0;103,1755595
213;0;163,1459787
214;0;237,9928329
215;0;316,0562506
216;0;389,3356836
217;0;458,8429425
218;0;922,4230409
219;0;1643,022015
220;0;1787,713234
221;0;1236,988815
222;0;417,5842638
223;4;885,1418912
224;141;2226,646934
225;348;3360,661488
226;484;4355,267457
227;564;4641,995239
228;593;4074,535828
229;581;3583,265797
230;540;3039,719322
231;460;2005,990532
232;343;494,9979671
233;223;282,0094677
234;90;197,8256903
235;4;189,9559389
236;0;223,426024
237;0;314,8576142
238;0;469,6389621
239;0;1825,049678
240;0;2342,892332
241;0;735,7314517
242;0;156,1884642
243;0;0
244;0;0
245;0;0
246;0;104,1491332
247;3;395,1106156
248;143;475,0379764
249;373;363,3509444
250;555;176,6412092
251;672;57,48339765
252;737;3,100250222
253;764;0
254;735;0
255;658;0
256;519;0
257;349;0
258;163;0
259;6;85,3198457
260;0;275,2100181
261;0;395,7522662
262;0;435,6704319
263;0;416,8515921
264;0;405,256022
265;0;752,2869131
266;0;3033,226823
267;0;6511,681413
268;0;8590,623586
269;0;6847,303932
270;0;5123,014796
271;4;8773,199803
272;170;10700,35376
273;402;11652,78826
274;579;10356,73942
275;674;8044,93275
276;715;5653,675748
277;733;4089,784094
278;718;3551,474539
279;662;3312,949485
280;556;3276,97212
281;406;2998,461191
282;192;3006,121065
283;10;3274,842726
284;0;3274,669463
285;0;493,6327676
286;0;16,89442888
287;0;0
288;0;0
289;0;268,527044
290;0;743,0719246
291;0;2700,666891
292;0;4762,828766
293;0;5697,743535
294;0;6176,625999
295;5;11082,34117
296;179;17909,7507
297;391;22949,14232
298;549;22876,2643
299;686;18661,78174
300;741;13940,35034
301;728;8678,358594
302;738;3994,557619
303;679;1193,656349
304;556;153,8456405
305;377;0
306;138;0
307;3;184,0879706
308;0;1111,857187
309;0;3814,65481
310;0;8158,126555
311;0;10845,26167
312;0;14591,17868
313;0;19327,89126
314;0;19898,52626
315;0;13762,61063
316;0;8273,566206
317;0;4065,626843
318;0;4243,941431
319;4;7275,898507
320;168;11262,40236
321;398;16252,58472
322;570;17566,73345
323;685;16025,54753
324;759;13836,80024
325;778;11109,93042
326;732;8319,180089
327;639;4798,542371
328;508;2991,309803
329;333;1778,60218
330;125;1447,873274
331;6;1290,124835
332;0;1198,512595
333;0;1705,782099
334;0;2582,295828
335;0;2581,833452
336;0;1946,121691
337;0;1074,544107
338;0;563,0043466
339;0;991,3276781
340;0;2162,927737
341;0;2451,563883
342;0;2212,985711
343;4;3537,874512
344;134;5972,903002
345;334;9015,557924
346;520;11833,3945
347;611;14026,48586
348;588;14489,94868
349;509;11215,42919
350;399;6184,373414
351;271;1950,772698
352;218;300,570306
353;152;24,4437026
354;59;0
355;3;0
356;0;0
357;0;0
358;0;0
359;0;0
360;0;0
361;0;0
362;0;0
363;0;0
364;0;220,2961818
365;0;369,7578137
366;0;537,1791585
367;2;1604,707398
368;103;2019,623467
369;320;2301,263621
370;511;2279,905927
371;644;1902,005391
372;719;1535,356343
373;713;1173,030567
374;651;494,4455644
375;529;330,7017102
376;437;262,5060555
377;272;310,3836075
378;111;417,6469152
379;5;490,1905998
380;0;720,2165021
381;0;813,8914714
382;0;1222,426233
383;0;2026,471321
384;0;3152,822253
385;0;4778,8959
386;0;7962,056204
387;0;10096,89465
388;0;9476,342986
389;0;6753,045498
390;0;7603,386621
391;4;9141,000624
392;118;9892,963957
393;267;9713,104181
394;399;10729,36734
395;497;13619,20775
396;565;16347,21345
397;595;17960,92607
398;561;18758,55409
399;448;14559,22853
400;297;6761,531693
401;182;3658,701585
402;123;3839,23667
403;8;5205,229788
404;0;7900,811928
405;0;11231,50807
406;0;12246,36229
407;0;8232,823139
408;0;2397,785044
409;0;404,3526215
410;0;132,8862345
411;0;61,40726503
412;0;51,64912924
413;0;23,1016852
414;0;331,4949406
415;4;4030,958969
416;135;8087,975227
417;360;10027,47424
418;570;13444,74721
419;696;17155,33065
420;765;20716,14412
421;787;22111,69366
422;762;21654,21359
423;691;17396,81972
424;572;12709,52181
425;379;13021,85779
426;166;14029,3579
427;10;16398,08485
428;0;15834,8623
429;0;13532,00007
430;0;11303,79753
431;0;9558,946434
432;0;8705,787978
433;0;7509,880736
434;0;6632,29126
435;0;5783,99282
436;0;4241,259658
437;0;3114,602235
438;0;8261,56103
439;4;16282,74337
440;148;20544,20101
441;358;21370,36105
442;560;21124,44899
443;700;20426,53061
444;769;18515,35945
445;789;17126,30266
446;765;14689,93451
447;695;9582,848359
448;576;4768,582936
449;401;3047,549318
450;185;2393,908993
451;11;1774,673711
452;0;1464,891703
453;0;1405,18855
454;0;2019,555273
455;0;2743,919088
456;0;2829,228835
457;0;3302,607215
458;0;4751,479606
459;0;6289,015679
460;0;6203,546498
461;0;5597,416781
462;0;8894,201362
463;3;15275,83151
464;141;17164,96041
465;357;15774,62067
466;573;14040,51166
467;697;11639,85145
468;763;11379,52208
469;784;11546,27574
470;760;10624,93934
471;690;9248,717747
472;567;6436,9806
473;352;5587,845523
474;122;6352,911485
475;5;6474,40091
476;0;4602,955763
477;0;1760,883503
478;0;420,3638937
479;0;489,9922356
480;0;2044,951798
481;0;4055,977326
482;0;6236,87507
483;0;6432,71721
484;0;5002,01034
485;0;3582,108009
486;0;3251,034589
487;4;4991,948295
488;174;3350,680741
489;381;2070,750801
490;551;484,9006371
491;671;298,0423191
492;717;168,0166467
493;711;61,78772516
494;684;0
495;540;0
496;383;0
497;239;0
498;110;0
499;4;0
500;0;0
501;0;0
502;0;0
503;0;0
504;0;0
505;0;0
506;0;99,11359338
507;0;238,689245
508;0;257,0287559
509;0;241,8837854
510;0;270,90697
511;4;311,3768964
512;139;454,7248026
513;290;1511,549451
514;396;1594,733096
515;506;768,3184173
516;585;470,3170344
517;590;425,065559
518;542;339,1759687
519;444;236,1096621
520;315;196,7744421
521;182;325,3186476
522;77;1559,413374
523;4;3370,596057
524;0;5147,45435
