period,year,scenario,load_demand,res_generation_total,generator_generation,battery_charge,battery_discharge,battery_soc,lost_load,grid_import,grid_export,grid_import_delivered,grid_export_delivered
9,2031,scenario_1,293.3367255,724.9689005285352,0.0,431.6321750285352,0.0,721.4746803339491,0.0,0.0,0.0,0.0,0.0
9,2032,scenario_1,308.0035618,670.3449124992246,0.0,362.34135069922456,0.0,706.2617901639492,0.0,0.0,0.0,0.0,0.0
9,2033,scenario_1,323.4037398,724.9689005285352,0.0,401.5651607285352,0.0,690.288255513949,0.0,0.0,0.0,0.0,0.0
9,2034,scenario_1,339.5739268,457.2992160348325,0.0,117.72528923483252,0.0,543.8314982514617,0.0,0.0,0.0,0.0,0.0
9,2035,scenario_1,356.5526232,491.554242427319,0.0,135.00161922731894,0.0,543.8314982514617,0.0,0.0,0.0,0.0,0.0
10,2026,scenario_1,137.978,137.978,0.0,0.0,0.0,1221.6356945246102,0.0,0.0,0.0,0.0,0.0
10,2027,scenario_1,144.8769,570.9831090166292,0.0,426.10620901662924,0.0,863.7426837626808,0.0,0.0,0.0,0.0,0.0
10,2028,scenario_1,152.120745,578.2269540166292,0.0,426.10620901662924,0.0,829.6442824588125,0.0,0.0,0.0,0.0,0.0
10,2029,scenario_1,159.7267823,585.8329913166292,0.0,426.10620901662924,0.0,814.5861381726809,0.0,0.0,0.0,0.0,0.0
10,2030,scenario_1,167.7131214,593.8193304166292,0.0,426.10620901662924,0.0,426.1062090166291,0.0,0.0,0.0,0.0,0.0
10,2031,scenario_1,176.0987774,293.8240666348325,0.0,117.72528923483252,0.0,1131.5252466110574,0.0,0.0,0.0,0.0,0.0
10,2032,scenario_1,184.9037163,728.7352145514618,0.0,543.8314982514618,0.0,1050.4860733282126,0.0,0.0,0.0,0.0,0.0
10,2033,scenario_1,194.1489021,620.2551111166292,0.0,426.10620901662924,0.0,1071.7751582060575,0.0,0.0,0.0,0.0,0.0
10,2034,scenario_1,203.8563472,203.8563472,0.0,0.0,0.0,655.6705230245525,0.0,0.0,0.0,0.0,0.0
10,2035,scenario_1,214.0491646,214.0491646,0.0,0.0,0.0,672.0830365174146,0.0,0.0,0.0,0.0,0.0
11,2026,scenario_1,13.329,13.329,0.0,0.0,0.0,1221.6356945246102,0.0,0.0,0.0,0.0,0.0
11,2027,scenario_1,13.99545,13.99545,0.0,0.0,0.0,1268.5435823284786,0.0,0.0,0.0,0.0,0.0
11,2028,scenario_1,14.6952225,440.80143151662924,0.0,426.10620901662924,0.0,1234.4451810246103,0.0,0.0,0.0,0.0,0.0
11,2029,scenario_1,15.42998363,15.42998363,0.0,0.0,0.0,1219.3870367384786,0.0,0.0,0.0,0.0,0.0
11,2030,scenario_1,16.20148281,442.30769182662925,0.0,426.10620901662924,0.0,830.9071075824269,0.0,0.0,0.0,0.0,0.0
11,2031,scenario_1,17.01155695,443.11776596662924,0.0,426.10620901662924,0.0,1243.3642713841484,0.0,0.0,0.0,0.0,0.0
11,2032,scenario_1,17.86213479,443.96834380662926,0.0,426.10620901662924,0.0,1567.1259966671012,0.0,0.0,0.0,0.0,0.0
11,2033,scenario_1,18.75524153,562.5867397814617,0.0,543.8314982514618,0.0,1476.5760567718553,0.0,0.0,0.0,0.0,0.0
11,2034,scenario_1,19.69300361,563.5245018614618,0.0,543.8314982514618,0.0,655.6705230245525,0.0,0.0,0.0,0.0,0.0
11,2035,scenario_1,20.67765379,564.5091520414618,0.0,543.8314982514618,0.0,672.0830365174146,0.0,0.0,0.0,0.0,0.0
12,2026,scenario_1,107.116,533.2222090166292,0.0,426.10620901662924,0.0,1221.6356945246102,0.0,0.0,0.0,0.0,0.0
12,2027,scenario_1,112.4718,495.7786850125574,0.0,383.30688501255736,0.0,1268.5435823284786,0.0,0.0,0.0,0.0,0.0
12,2028,scenario_1,118.09539,118.09539,0.0,0.0,0.0,1639.246079590408,0.0,0.0,0.0,0.0,0.0
12,2029,scenario_1,124.0001595,550.1063685166292,0.0,426.10620901662924,0.0,1219.3870367384786,0.0,0.0,0.0,0.0,0.0
12,2030,scenario_1,130.2001675,130.2001675,0.0,0.0,0.0,1235.7080061482247,0.0,0.0,0.0,0.0,0.0
12,2031,scenario_1,136.7101758,469.11737758731886,0.0,332.40720178731885,0.0,1648.165169949946,0.0,0.0,0.0,0.0,0.0
12,2032,scenario_1,143.5456846,143.5456846,0.0,0.0,0.0,1971.926895232899,0.0,0.0,0.0,0.0,0.0
12,2033,scenario_1,150.7229689,150.7229689,0.0,0.0,0.0,1993.2159801107439,0.0,0.0,0.0,0.0,0.0
12,2034,scenario_1,158.2591173,584.3653263166293,0.0,426.10620901662924,0.0,1172.310446363441,0.0,0.0,0.0,0.0,0.0
12,2035,scenario_1,166.1720732,710.0035714514618,0.0,543.8314982514618,0.0,1188.7229598563033,0.0,0.0,0.0,0.0,0.0
13,2026,scenario_1,11.53,11.53,0.0,0.0,0.0,1626.436593090408,0.0,0.0,0.0,0.0,0.0
13,2027,scenario_1,12.1065,12.1065,0.0,0.0,0.0,1632.685123090408,0.0,0.0,0.0,0.0,0.0
13,2028,scenario_1,12.711825,12.711825,0.0,0.0,0.0,1639.246079590408,0.0,0.0,0.0,0.0,0.0
13,2029,scenario_1,13.34741625,36.44967794592816,0.0,23.10226169592816,0.0,1624.1879353042764,0.0,0.0,0.0,0.0,0.0
13,2030,scenario_1,14.01478706,440.12099607662924,0.0,426.10620901662924,0.0,1235.7080061482247,0.0,0.0,0.0,0.0,0.0
13,2031,scenario_1,14.71552642,132.4408156548325,0.0,117.72528923483252,0.0,1963.9520116478989,0.0,0.0,0.0,0.0,0.0
13,2032,scenario_1,15.45130274,133.17659197483252,0.0,117.72528923483252,0.0,1971.926895232899,0.0,0.0,0.0,0.0,0.0
13,2033,scenario_1,16.22386787,120.35393917552184,0.0,104.13007130552184,0.0,1993.2159801107439,0.0,0.0,0.0,0.0,0.0
13,2034,scenario_1,17.03506127,560.8665595214618,0.0,543.8314982514618,0.0,1577.111344929239,0.0,0.0,0.0,0.0,0.0
13,2035,scenario_1,17.88681433,443.99302334662923,0.0,426.10620901662924,0.0,1705.362883195192,0.0,0.0,0.0,0.0,0.0
14,2026,scenario_1,114.441,540.5472090166293,0.0,426.10620901662924,0.0,1626.436593090408,0.0,0.0,0.0,0.0,0.0
14,2027,scenario_1,120.16305,546.2692590166292,0.0,426.10620901662924,0.0,1632.685123090408,0.0,0.0,0.0,0.0,0.0
14,2028,scenario_1,126.1712025,552.2774115166293,0.0,426.10620901662924,0.0,1639.246079590408,0.0,0.0,0.0,0.0,0.0
