Periods,Solar PV
182,674.9176239387083
183,599.1396532867745
184,484.44503867130476
185,345.38138017255795
186,200.36808317611533
187,67.98891910925516
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,76.12100643268067
200,228.8571645755511
201,394.3358277037058
202,549.3309030226894
203,674.3396773382724
204,752.9137472156622
205,777.0790368822663
206,745.6263680834551
207,661.795089643817
208,535.2191233759745
209,381.27402884499276
210,219.812444776309
211,71.07791924404516
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,76.39862112106181
224,245.6431751415621
225,428.0615298572819
226,597.8905433878872
227,733.9033287953876
228,819.1616256403039
229,845.8126155896961
230,812.1383887287636
231,721.7528537969497
232,584.3960465066976
233,416.0833206818653
234,238.02967068450093
235,72.88711292335815
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,70.30441104262209
248,206.1535194385782
249,354.6514632197038
250,495.43116491385723
251,610.3741372880422
252,684.1273163470191
253,707.9593641280959
254,679.531811359899
255,602.7779357865262
256,487.4288302472765
257,347.8484598509133
258,202.06594299216619
259,68.96211701329577
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,62.73520029526361
272,176.5217743848072
273,302.10233511680104
274,422.34418918456555
275,520.7505508308263
276,584.3537135932777
277,605.8697337295073
278,582.491228398079
279,517.5106266133715
280,418.9682086450795
281,299.53334707886904
282,175.85338007474184
283,63.351262874662766
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,67.63242026744332
296,203.57543622454432
297,352.6236125001699
298,494.188717009354
299,609.088631651087
300,681.9981188161529
301,706.2609452114557
302,679.0319759365434
303,603.2971652411685
304,488.00862110063065
305,348.2439905130251
306,202.52730410372052
307,69.22061205327289
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,56.600888505428095
320,147.55100370787267
321,252.46497631097338
322,353.8528108312608
323,437.7679921048429
324,491.8808086121143
325,509.82016447089956
326,489.3684500041796
327,433.76384540903297
328,350.59979162355535
329,250.8473164151157
330,148.20251845748825
331,58.892603336553066
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,57.46096981479338
344,158.7907306869492
345,273.3317828191547
346,384.0355729087399
347,475.71644510040244
348,535.3467129909192
349,555.2474990708888
350,533.3925809487537
351,472.83964432435465
352,381.73051135000225
353,272.72860866347605
354,160.5511195228777
355,60.794058540190996
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,65.7631156424491
368,215.39595728864
369,379.05713663064995
370,534.5701220055013
371,661.155095800205
372,741.8662085330483
373,768.0643786874589
374,738.9037835700198
375,658.5835341223244
376,534.9980945478552
377,382.7552883935035
378,221.82214816744084
379,73.18687364010754
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,65.43788066927407
392,234.0891919441141
393,417.46577920763247
394,590.0902562127471
395,729.0366334026834
396,817.7864170422984
397,847.5321523065663
398,815.2562495443121
399,726.2089867060364
400,589.9770373549441
401,421.47264697624826
402,242.1813283191279
