Periods,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042
50,30056.187,31558.996350000005,33136.946167500006,34793.793475875005,36533.48314966876,38360.1573071522,40278.16517250981,42292.0734311353,44406.67710269207,46627.01095782667,48958.36150571801,51406.27958100391,53976.59356005411,56675.42323805682,59509.19439995966,62484.65411995765,65608.88682595553,68889.33116725332,72333.79772561598,75950.48761189678
51,32825.195,34466.454750000004,36189.7774875,37999.266361875,39899.229679968754,41894.191163967196,43988.90072216556,46188.34575827384,48497.76304618753,50922.65119849691,53468.783758421756,56142.222946342845,58949.33409365999,61896.80079834299,64991.64083826015,68241.22288017317,71653.28402418182,75235.94822539091,78997.74563666046,82947.63291849349
52,35932.23899999999,37728.850949999985,39615.29349749999,41596.05817237499,43675.861080993745,45859.654135043435,48152.636841795604,50560.268683885384,53088.28211807966,55742.69622398364,58529.831035182826,61456.32258694197,64529.138716289075,67755.59565210353,71143.37543470871,74700.54420644416,78435.57141676635,82357.34998760468,86475.21748698491,90798.97836133417
53,29432.172,30903.7806,32448.96963,34071.4181115,35774.98901707501,37563.73846792876,39441.925391325196,41414.021660891456,43484.722743936036,45658.958881132836,47941.90682518948,50339.002166448954,52855.95227477141,55498.74988850998,58273.68738293548,61187.37175208226,64246.74033968637,67459.07735667069,70832.03122450423,74373.63278572945
54,21372.14,22440.747,23562.78435,24740.9235675,25977.969745875005,27276.868233168756,28640.711644827195,30072.747227068558,31576.384588421985,33155.20381784308,34812.96400873524,36553.612209172,38381.29281963061,40300.35746061214,42315.37533364275,44431.14410032489,46652.70130534113,48985.33637060819,51434.6031891386,54006.33334859554
55,9269.585,9733.06425,10219.717462499999,10730.703335625,11267.238502406251,11830.600427526564,12422.130448902893,13043.236971348038,13695.398819915441,14380.168760911212,15099.177198956773,15854.136058904613,16646.842861849844,17479.185004942337,18353.144255189458,19270.80146794893,20234.341541346374,21246.058618413696,22308.36154933438,23423.779626801104
56,11860.890000000003,12453.934500000003,13076.631225000005,13730.462786250006,14416.985925562507,15137.835221840633,15894.726982932665,16689.4633320793,17523.936498683262,18400.13332361743,19320.1399897983,20286.146989288216,21300.45433875263,22365.47705569026,23483.750908474776,24657.938453898518,25890.835376593437,27185.377145423114,28544.64600269427,29971.878302828987
57,30740.783999999996,32277.8232,33891.71436,35586.300078,37365.6150819,39233.895835995005,41195.59062779476,43255.370159184495,45418.13866714372,47689.04560050091,50073.49788052595,52577.17277455226,55206.031413279874,57966.33298394387,60864.64963314107,63907.88211479813,67103.27622053803,70458.44003156494,73981.36203314317,77680.43013480035
58,30629.34699999999,32160.814349999993,33768.85506749999,35457.29782087499,37230.16271191875,39091.67084751469,41046.25438989042,43098.567109384945,45253.49546485419,47516.1702380969,49891.97875000175,52386.57768750184,55005.906571876934,57756.20190047078,60644.01199549433,63676.21259526905,66860.02322503249,70203.02438628413,73713.17560559833,77398.83438587826
59,12188.083999999999,12797.4882,13437.36261,14109.230740500001,14814.692277525002,15555.426891401254,16333.198235971317,17149.858147769883,18007.351055158375,18907.718607916297,19853.10453831211,20845.759765227718,21888.047753489107,22982.45014116356,24131.572648221743,25338.151280632832,26605.05884466447,27935.311786897695,29332.077376242578,30798.681245054715
