Periods,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042
11,22338.024,23454.9252,24627.67146,25859.055033000004,27152.007784650006,28509.60817388251,29935.088582576635,31431.843011705467,33003.43516229074,34653.606920405284,36386.28726642554,38205.60162974682,40115.88171123417,42121.67579679588,44227.75958663568,46439.14756596746,48761.10494426583,51199.16019147913,53759.11820105308,56447.07411110574
12,21215.100000000002,22275.855000000003,23389.647750000004,24559.130137500004,25787.08664437501,27076.44097659376,28430.26302542345,29851.77617669462,31344.364985529355,32911.583234805825,34557.16239654611,36285.02051637342,38099.271542192095,40004.2351193017,42004.44687526679,44104.66921903013,46309.902679981635,48625.39781398072,51056.667704679756,53609.501089913756
13,18360.011,19278.01155,20241.9121275,21254.007733875,22316.708120568754,23432.543526597194,24604.17070292705,25834.379238073405,27126.098199977077,28482.40310997593,29906.523265474727,31401.849428748465,32971.94190018589,34620.53899519519,36351.56594495495,38169.1442422027,40077.60145431283,42081.481527028474,44185.5556033799,46394.8333835489
14,18300.0,19215.0,20175.75,21184.537500000002,22243.764375000002,23355.952593750008,24523.750223437506,25749.937734609382,27037.434621339853,28389.306352406846,29808.77167002719,31299.21025352855,32864.17076620498,34507.379304515234,36232.748269740994,38044.38568322805,39946.604967389445,41943.935215758924,44041.131976546865,46243.18857537422
15,18300.0,19215.0,20175.75,21184.537500000002,22243.764375000002,23355.952593750008,24523.750223437506,25749.937734609382,27037.434621339853,28389.306352406846,29808.77167002719,31299.21025352855,32864.17076620498,34507.379304515234,36232.748269740994,38044.38568322805,39946.604967389445,41943.935215758924,44041.131976546865,46243.18857537422
16,17128.021,17984.42205,18883.6431525,19827.825310125,20819.216575631253,21860.177404412818,22953.186274633463,24100.845588365133,25305.887867783393,26571.182261172562,27899.74137423119,29294.728442942753,30759.464865089893,32297.438108344388,33912.31001376161,35607.92551444969,37388.32179017217,39257.73787968079,41220.62477366482,43281.656012348074
17,17420.016000000003,18291.016800000005,19205.567640000005,20165.846022000005,21174.138323100007,22232.84523925501,23344.48750121776,24511.71187627865,25737.297470092584,27024.162343597214,28375.370460777074,29794.13898381593,31283.845933006727,32848.03822965707,34490.44014113992,36214.96214819692,38025.71025560676,39926.9957683871,41923.34555680646,44019.51283464679
18,17850.086000000003,18742.590300000003,19679.719815000004,20663.705805750007,21696.891096037507,22781.735650839386,23920.822433381356,25116.863555050422,26372.706732802944,27691.342069443093,29075.909172915246,30529.704631561013,32056.189863139065,33658.99935629602,35341.94932411082,37109.046790316366,38964.499129832184,40912.7240863238,42958.36029063998,45106.27830517199
19,21034.094999999998,22085.79975,23190.0897375,24349.594224375,25567.07393559375,26845.42763237344,28187.699013992114,29597.08396469172,31076.938162926308,32630.785071072623,34262.32432462626,35975.44054085757,37774.21256790045,39662.92319629547,41646.06935611025,43728.37282391577,45914.79146511155,48210.53103836714,50621.05759028549,53152.11046979977
20,20452.085,21474.68925,22548.4237125,23675.844898125,24859.637143031254,26102.619000182818,27407.74995019196,28778.13744770156,30217.04432008664,31727.89653609097,33314.29136289552,34980.005931040294,36729.00622759231,38565.456538971936,40493.72936592053,42518.41583421656,44644.33662592738,46876.55345722376,49220.38113008495,51681.4001865892
21,19418.074,20388.977700000003,21408.426585,22478.847914250004,23602.790309962504,24782.929825460633,26022.076316733666,27323.18013257035,28689.339139198866,30123.806096158813,31629.996400966753,33211.49622101509,34872.07103206585,36615.67458366914,38446.45831285261,40368.78122849524,42387.22028991999,44506.581304415995,46731.9103696368,49068.50588811864
22,12658.076,13290.9798,13955.52879,14653.3052295,15385.970490975002,16155.269015523754,16963.03246629994,17811.18408961494,18701.743294095686,19636.830458800472,20618.671981740496,21649.60558082752,22732.085859868897,23868.690152862346,25062.124660505466,26315.230893530737,27630.99243820727,29012.54206011764,30463.16916312352,31986.327621279703
23,13046.012,13698.312600000001,14383.22823,15102.389641500002,15857.509123575004,16650.384579753754,17482.903808741445,18357.048999178518,19274.901449137444,20238.646521594317,21250.57884767403,22313.107790057733,23428.76317956062,24600.201338538656,25830.21140546559,27121.72197573887,28477.808074525812,29901.698478252107,31396.78340216471,32966.62257227295
