Periods,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042
47,156614.94400000002,164445.69120000003,172667.97576000003,181301.37454800005,190366.44327540006,199884.7654391701,209879.00371112858,220372.953896685,231391.60159151928,242961.18167109526,255109.24075465,267864.7027923825,281257.93793200166,295320.8348286018,310086.87657003186,325591.2203985335,341870.78141846013,358964.3204893832,376912.53651385236,395758.163339545
48,97776.12899999999,102664.93544999999,107798.18222249999,113188.091333625,118847.49590030625,124789.87069532157,131029.36423008767,137580.83244159204,144459.87406367165,151682.86776685526,159267.011155198,167230.3617129579,175591.87979860583,184371.47378853612,193590.04747796294,203269.5498518611,213433.02734445414,224104.67871167688,235309.9126472607,247075.40827962378
49,88740.928,93177.9744,97836.87312,102728.71677600002,107865.15261480003,113258.41024554003,118921.33075781704,124867.3972957079,131110.7671604933,137666.30551851797,144549.62079444385,151777.10183416607,159365.95692587437,167334.2547721681,175700.9675107765,184486.01588631535,193710.3166806311,203395.83251466267,213565.6241403958,224243.90534741562
50,93000.353,97650.37065000001,102532.8891825,107659.53364162502,113042.51032370627,118694.6358398916,124629.36763188618,130860.8360134805,137403.87781415452,144274.07170486226,151487.77529010538,159062.16405461065,167015.2722573412,175366.03587020826,184134.33766371867,193341.05454690463,203008.10727424984,213158.51263796235,223816.43826986046,235007.26018335353
51,96483.22,101307.38100000001,106372.75005,111691.38755250002,117275.95693012503,123139.7547766313,129296.74251546286,135761.579641236,142549.65862329782,149677.1415544627,157160.99863218583,165019.04856379514,173270.0009919849,181933.50104158415,191030.17609366338,200581.68489834658,210610.76914326387,221141.3076004271,232198.37298044845,243808.29162947088
52,112281.17899999999,117895.23795,123789.99984749999,129979.499839875,136478.47483186875,143302.3985734622,150467.51850213532,157990.8944272421,165890.4391486042,174184.96110603443,182894.20916133616,192038.91961940296,201640.86560037313,211722.9088803918,222309.0543244114,233424.507040632,245095.73239266354,257350.51901229678,270218.0449629116,283728.94721105724
53,119742.13100000001,125729.23755000002,132015.69942750002,138616.48439887504,145547.3086188188,152824.67404975975,160465.90775224773,168489.20313986012,176913.66329685313,185759.3464616958,195047.3137847806,204799.67947401962,215039.6634477206,225791.64662010665,237081.22895111202,248935.29039866762,261382.054918601,274451.1576645311,288173.71554775763,302582.40132514556
54,129705.13100000001,136190.38755,142999.9069275,150149.90227387502,157657.39738756878,165540.26725694723,173817.28061979462,182508.14465078435,191633.55188332355,201215.22947748975,211275.99095136425,221839.79049893247,232931.7800238791,244578.36902507307,256807.28747632675,269647.6518501431,283130.0344426502,297286.53616478277,312150.8629730219,327758.40612167306
55,137963.199,144861.35895,152104.4268975,159709.648242375,167695.13065449378,176079.88718721847,184883.88154657942,194128.07562390837,203834.4794051038,214026.203375359,224727.51354412694,235963.88922133332,247762.0836824,260150.18786652002,273157.697259846,286815.58212283836,301156.36122898024,316214.1792904293,332024.88825495075,348626.1326676983
56,148214.28999999998,155625.00449999998,163406.25472499998,171576.56746125,180155.3958343125,189163.16562602815,198621.32390732956,208552.39010269605,218980.00960783084,229929.0100882224,241425.46059263352,253496.73362226522,266171.5703033785,279480.14881854743,293454.1562594748,308126.8640724486,323533.207276071,339709.8676398746,356695.3610218683,374530.12907296175
57,159015.12500000003,166965.88125000003,175314.17531250004,184079.88407812506,193283.87828203134,202948.0721961329,213095.47580593955,223750.24959623654,234937.76207604838,246684.6501798508,259018.88268884333,271969.8268232855,285568.3181644498,299846.7340726723,314839.070776306,330581.0243151213,347110.07553087734,364465.5793074212,382688.85827279225,401823.30118643196
58,165040.058,173292.0609,181956.663945,191054.49714225,200607.22199936252,210637.58309933066,221169.46225429722,232227.93536701208,243839.3321353627,256031.29874213084,268832.8636792374,282274.50686319923,296388.2322063592,311207.6438166772,326768.02600751113,343106.4273078867,360261.748673281,378274.83610694506,397188.5779122923,417048.006807907
59,173755.05399999997,182442.8067,191564.947035,201143.19438675,211200.3541060875,221760.3718113919,232848.39040196151,244490.8099220596,256715.35041816256,269551.1179390707,283028.67383602425,297180.10752782546,312039.11290421674,327641.0685494276,344023.12197689904,361224.278075744,379285.4919795312,398249.7665785078,418162.2549074331,439070.3676528049
60,172715.76999999996,181351.55849999996,190419.13642499998,199940.09324624998,209937.0979085625,220433.95280399063,231455.65044419016,243028.43296639968,255179.8546147197,267938.84734545567,281335.78971272847,295402.57919836487,310172.70815828315,325681.3435661973,341965.4107445072,359063.6812817326,377016.8653458192,395867.7086131102,415661.0940437657,436444.14874595404
61,177595.363,186475.13115000003,195798.88770750002,205588.83209287503,215868.2736975188,226661.68738239477,237994.77175151452,249894.51033909025,262389.23585604475,275508.697648847,289284.13253128936,303748.33915785386,318935.75611574657,334882.5439215339,351626.67111761065,369208.0046734912,387668.4049071657,407051.82515252405,427404.41641015024,448774.6372306578
62,187378.50699999995,196747.43234999996,206584.80396749996,216914.04416587498,227759.74637416872,239147.7336928772,251105.12037752106,263660.3763963971,276843.395216217,290685.5649770278,305219.84322587925,320480.8353871732,336504.8771565319,353330.12101435853,370996.6270650765,389546.4584183303,409023.7813392468,429474.9704062092,450948.7189265196,473496.1548728457
63,180983.309,190032.47445,199534.0981725,209510.80308112502,219986.3432351813,230985.6603969404,242534.94341678743,254661.6905876268,267394.77511700813,280764.51387285854,294802.73956650146,309542.87654482655,325020.0203720679,341271.0213906713,358334.57246020494,376251.3010832152,395063.86613737594,414817.0594442448,435557.91241645697,457335.80803727993
64,160696.533,168731.35965,177167.9276325,186026.324014125,195327.64021483128,205094.02222557287,215348.72333685152,226116.1595036941,237421.9674788788,249293.06585282277,261757.7191454639,274845.6051027371,288587.885357874,303017.27962576767,318168.1436070561,334076.55078740895,350780.37832677935,368319.3972431183,386735.3671052742,406072.13546053803
65,166510.076,174835.5798,183577.35879,192756.22672950002,202394.03806597504,212513.7399692738,223139.4269677375,234296.3983161244,246011.2182319306,258311.77914352715,271227.3681007035,284788.7365057387,299028.17333102564,313979.5819975769,329678.56109745585,346162.48915232864,363470.61360994505,381644.14429044235,400726.35150496446,420762.6690802127
66,165721.078,174007.1319,182707.48849500003,191842.86291975004,201435.00606573754,211506.75636902446,222082.09418747568,233186.19889684947,244845.50884169195,257087.78428377653,269942.1734979654,283439.28217286366,297611.24628150684,312491.8085955822,328116.39902536134,344522.21897662943,361748.32992546086,379835.746421734,398827.53374282067,418768.91042996175
