Periods,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032
39,2969.632324999998,2969.632324999998,2969.632324999998,2969.632324999998,2969.632324999998,2969.632324999998,2969.632324999998,2969.632324999998,2969.632324999998,2969.632324999998
40,4821.373761666664,4821.373761666664,4821.373761666664,4821.373761666664,4821.373761666664,4821.373761666664,4821.373761666664,4821.373761666664,4821.373761666664,4821.373761666664
41,3594.263468333332,3594.263468333332,3594.263468333332,3594.263468333332,3594.263468333332,3594.263468333332,3594.263468333332,3594.263468333332,3594.263468333332,3594.263468333332
42,491.8461750000003,491.8461750000003,491.8461750000003,491.8461750000003,491.8461750000003,491.8461750000003,491.8461750000003,491.8461750000003,491.8461750000003,491.8461750000003
43,422.1666733333333,422.1666733333333,422.1666733333333,422.1666733333333,422.1666733333333,422.1666733333333,422.1666733333333,422.1666733333333,422.1666733333333,422.1666733333333
44,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0
45,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0
46,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0
47,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0
48,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0
49,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0
50,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0
51,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0
52,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0
53,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0
54,482.0000183333333,482.0000183333333,482.0000183333333,482.0000183333333,482.0000183333333,482.0000183333333,482.0000183333333,482.0000183333333,482.0000183333333,482.0000183333333
55,818.6469750000003,818.6469750000003,818.6469750000003,818.6469750000003,818.6469750000003,818.6469750000003,818.6469750000003,818.6469750000003,818.6469750000003,818.6469750000003
56,2959.850750000001,2959.850750000001,2959.850750000001,2959.850750000001,2959.850750000001,2959.850750000001,2959.850750000001,2959.850750000001,2959.850750000001,2959.850750000001
57,2273.59598,2273.59598,2273.59598,2273.59598,2273.59598,2273.59598,2273.59598,2273.59598,2273.59598,2273.59598
58,2082.063348333333,2082.063348333333,2082.063348333333,2082.063348333333,2082.063348333333,2082.063348333333,2082.063348333333,2082.063348333333,2082.063348333333,2082.063348333333
59,1523.772175000001,1523.772175000001,1523.772175000001,1523.772175000001,1523.772175000001,1523.772175000001,1523.772175000001,1523.772175000001,1523.772175000001,1523.772175000001
60,1639.591691666667,1639.591691666667,1639.591691666667,1639.591691666667,1639.591691666667,1639.591691666667,1639.591691666667,1639.591691666667,1639.591691666667,1639.591691666667
61,502.6161966666667,502.6161966666667,502.6161966666667,502.6161966666667,502.6161966666667,502.6161966666667,502.6161966666667,502.6161966666667,502.6161966666667,502.6161966666667
62,492.7801350000003,492.7801350000003,492.7801350000003,492.7801350000003,492.7801350000003,492.7801350000003,492.7801350000003,492.7801350000003,492.7801350000003,492.7801350000003
63,2084.242065000002,2084.242065000002,2084.242065000002,2084.242065000002,2084.242065000002,2084.242065000002,2084.242065000002,2084.242065000002,2084.242065000002,2084.242065000002
64,3435.501903333333,3435.501903333333,3435.501903333333,3435.501903333333,3435.501903333333,3435.501903333333,3435.501903333333,3435.501903333333,3435.501903333333,3435.501903333333
65,2168.604705000002,2168.604705000002,2168.604705000002,2168.604705000002,2168.604705000002,2168.604705000002,2168.604705000002,2168.604705000002,2168.604705000002,2168.604705000002
66,522.564521666667,522.564521666667,522.564521666667,522.564521666667,522.564521666667,522.564521666667,522.564521666667,522.564521666667,522.564521666667,522.564521666667
67,417.1666666666667,417.1666666666667,417.1666666666667,417.1666666666667,417.1666666666667,417.1666666666667,417.1666666666667,417.1666666666667,417.1666666666667,417.1666666666667
68,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0
69,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0
70,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0
71,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0
72,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0
73,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0
74,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0
75,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0
76,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0
77,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0
78,464.5000299999998,464.5000299999998,464.5000299999998,464.5000299999998,464.5000299999998,464.5000299999998,464.5000299999998,464.5000299999998,464.5000299999998,464.5000299999998
79,998.116961666667,998.116961666667,998.116961666667,998.116961666667,998.116961666667,998.116961666667,998.116961666667,998.116961666667,998.116961666667,998.116961666667
80,2608.850663333334,2608.850663333334,2608.850663333334,2608.850663333334,2608.850663333334,2608.850663333334,2608.850663333334,2608.850663333334,2608.850663333334,2608.850663333334
81,2329.009173333333,2329.009173333333,2329.009173333333,2329.009173333333,2329.009173333333,2329.009173333333,2329.009173333333,2329.009173333333,2329.009173333333,2329.009173333333
82,2269.438113333334,2269.438113333334,2269.438113333334,2269.438113333334,2269.438113333334,2269.438113333334,2269.438113333334,2269.438113333334,2269.438113333334,2269.438113333334
83,1121.876850000001,1121.876850000001,1121.876850000001,1121.876850000001,1121.876850000001,1121.876850000001,1121.876850000001,1121.876850000001,1121.876850000001,1121.876850000001
84,1623.339931666667,1623.339931666667,1623.339931666667,1623.339931666667,1623.339931666667,1623.339931666667,1623.339931666667,1623.339931666667,1623.339931666667,1623.339931666667
85,824.4680116666661,824.4680116666661,824.4680116666661,824.4680116666661,824.4680116666661,824.4680116666661,824.4680116666661,824.4680116666661,824.4680116666661,824.4680116666661
86,1096.592001666667,1096.592001666667,1096.592001666667,1096.592001666667,1096.592001666667,1096.592001666667,1096.592001666667,1096.592001666667,1096.592001666667,1096.592001666667
87,3274.800168333333,3274.800168333333,3274.800168333333,3274.800168333333,3274.800168333333,3274.800168333333,3274.800168333333,3274.800168333333,3274.800168333333,3274.800168333333
88,4132.599024999997,4132.599024999997,4132.599024999997,4132.599024999997,4132.599024999997,4132.599024999997,4132.599024999997,4132.599024999997,4132.599024999997,4132.599024999997
89,3477.949324999999,3477.949324999999,3477.949324999999,3477.949324999999,3477.949324999999,3477.949324999999,3477.949324999999,3477.949324999999,3477.949324999999,3477.949324999999
90,474.1376350000002,474.1376350000002,474.1376350000002,474.1376350000002,474.1376350000002,474.1376350000002,474.1376350000002,474.1376350000002,474.1376350000002,474.1376350000002
91,414.875,414.875,414.875,414.875,414.875,414.875,414.875,414.875,414.875,414.875
92,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0
93,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0
94,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0
95,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0
96,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0
97,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0
98,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0
99,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0
