Periods,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032
18,527.4994466666665,527.6049465559998,527.7104675453111,527.8160096388201,527.9215728407479,528.027157155316,528.132762586747,528.2383891392644,528.3440368170923,528.4497056244556
19,412.0,412.0824,412.16481648,412.247249443296,412.3296988931847,412.4121648329633,412.49464726592987,412.577146195383,412.6596616246221,412.74219355694703
20,412.0,412.0824,412.16481648,412.247249443296,412.3296988931847,412.4121648329633,412.49464726592987,412.577146195383,412.6596616246221,412.74219355694703
21,412.0,412.0824,412.16481648,412.247249443296,412.3296988931847,412.4121648329633,412.49464726592987,412.577146195383,412.6596616246221,412.74219355694703
22,412.0,412.0824,412.16481648,412.247249443296,412.3296988931847,412.4121648329633,412.49464726592987,412.577146195383,412.6596616246221,412.74219355694703
23,412.0,412.0824,412.16481648,412.247249443296,412.3296988931847,412.4121648329633,412.49464726592987,412.577146195383,412.6596616246221,412.74219355694703
24,412.0,412.0824,412.16481648,412.247249443296,412.3296988931847,412.4121648329633,412.49464726592987,412.577146195383,412.6596616246221,412.74219355694703
25,412.0,412.0824,412.16481648,412.247249443296,412.3296988931847,412.4121648329633,412.49464726592987,412.577146195383,412.6596616246221,412.74219355694703
26,412.0,412.0824,412.16481648,412.247249443296,412.3296988931847,412.4121648329633,412.49464726592987,412.577146195383,412.6596616246221,412.74219355694703
27,412.0,412.0824,412.16481648,412.247249443296,412.3296988931847,412.4121648329633,412.49464726592987,412.577146195383,412.6596616246221,412.74219355694703
28,412.0,412.0824,412.16481648,412.247249443296,412.3296988931847,412.4121648329633,412.49464726592987,412.577146195383,412.6596616246221,412.74219355694703
29,412.0,412.0824,412.16481648,412.247249443296,412.3296988931847,412.4121648329633,412.49464726592987,412.577146195383,412.6596616246221,412.74219355694703
30,444.5000333333331,444.58893333999976,444.67785112666775,444.76678669689306,444.85574005423246,444.9447112022433,445.03370014448376,445.12270688451264,445.2117314258895,445.3007737721747
31,883.7836383333333,883.960395061,884.1371871400122,884.3140145774402,884.4908773803556,884.6677755558317,884.8447091109429,885.0216780527651,885.1986823883756,885.3757221248533
