Periods,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032
15,18061.2506374774,18064.862887604893,18068.475860182414,18072.08955535445,18075.70397326552,18079.319114060174,18082.934977882986,18086.551564878562,18090.16887519154,18093.786908966576
16,12149.630481333335,12152.060407429602,12154.490819511087,12156.92171767499,12159.353102018524,12161.784972638927,12164.217329633455,12166.65017309938,12169.083503134,12171.517319834626
17,9863.325337833341,9865.298002900907,9867.271062501486,9869.244516713987,9871.21836561733,9873.192609290452,9875.167247812311,9877.142281261873,9879.117709718124,9881.093533260067
18,6970.829489833347,6972.223655731314,6973.61810046246,6975.012824082552,6976.407826647368,6977.803108212697,6979.1986688343395,6980.594508568106,6981.99062746982,6983.387025595313
19,8147.426153841044,8149.055639071812,8150.685450199626,8152.315587289666,8153.946050407124,8155.576839617205,8157.207954985129,8158.839396576125,8160.47116445544,8162.103258688331
20,12117.315963264902,12119.739426457554,12122.163374342845,12124.587807017713,12127.012724579117,12129.438127124033,12131.864014749457,12134.290387552406,12136.717245629916,12139.144589079042
21,16237.919488767951,16241.167072665705,16244.415306080238,16247.664189141455,16250.913721979283,16254.163904723679,16257.414737504623,16260.666220452124,16263.918353696214,16267.171137366953
22,19388.01683451161,19391.894437878513,19395.772816766086,19399.65197132944,19403.531901723705,19407.41260810405,19411.29409062567,19415.176349443795,19419.059384713684,19422.943196590626
23,15927.347892049891,15930.5333616283,15933.719468300626,15936.906212194286,15940.093593436724,15943.281612155411,15946.470268477842,15949.659562531537,15952.849494444043,15956.040064342931
24,10168.604558166673,10170.638279078306,10172.672406734122,10174.706941215469,10176.741882603712,10178.777230980233,10180.812986426428,10182.849149023714,10184.885718853518,10186.92269599729
25,3915.9174930000054,3916.7006764986054,3917.484016633905,3918.2675134372316,3919.051166939919,3919.834977173307,3920.6189441687416,3921.4030679575753,3922.1873485711667,3922.971786040881
26,3818.6385316666706,3819.4022593730037,3820.1661398248784,3820.930173052843,3821.694359087454,3822.4586979592714,3823.2231896988633,3823.987834336803,3824.7526319036706,3825.5175824300513
27,3923.227332000004,3924.011977466404,3924.796779861897,3925.581739217869,3926.3668555657127,3927.1521289368256,3927.937559362613,3928.7231468744853,3929.50889150386,3930.2947932821608
