Periods,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032
35,284.0477333333335,284.10454288000017,284.1613637885762,284.2181960613339,284.2750397005462,284.3318947084863,284.38876108742795,284.4456388396454,284.50252796741336,284.55942847300685
36,347.32101333333395,347.3904775360006,347.4599556315078,347.5294476226341,347.59895351215863,347.66847330286106,347.7380069975216,347.8075545989211,347.87711610984087,347.94669153306285
37,387.4486666666669,387.5261564000002,387.6036616312802,387.68118236360647,387.7587186000792,387.8362703437992,387.91383759786794,387.9914203653875,388.0690186494606,388.1466324531905
38,329.40154666666723,329.4674269760006,329.53332046139576,329.599227125488,329.6651469709131,329.73108000030726,329.7970262163073,329.86298562155054,329.92895821867484,329.9949440103186
39,277.14272000000045,277.19814854400045,277.25358817370926,277.309038891344,277.3645006991223,277.4199735992621,277.47545759398196,277.5309526855007,277.5864588760378,277.64197616781297
40,196.51088000000016,196.55018217600016,196.58949221243535,196.62881011087782,196.6681358729,196.70746950007458,196.74681099397458,196.78616035617335,196.8255175882446,196.86488269176223
41,256.9903466666669,257.0417447360002,257.0931530849474,257.1445717155644,257.1960006299075,257.24743983003344,257.29888931799945,257.35034909586307,257.40181916568224,257.4532995295154
42,321.8807466666672,321.94512281600055,322.00951184056373,322.07391374293184,322.13832852568044,322.20275619138556,322.2671967426238,322.33165018197235,322.39611651200875,322.46059573531113
43,659.5926399999981,659.7245585279982,659.8565034397037,659.9884747403917,660.1204724353397,660.2524965298268,660.3845470291327,660.5166239385385,660.6487272633262,660.7808570087789
44,1672.9575466666608,1673.292138175994,1673.6267966036291,1673.9615219629497,1674.2963142673423,1674.6311735301956,1674.9660997649016,1675.3010929848547,1675.6361532034516,1675.9712804340923
45,3571.5351466666675,3572.2494536960007,3572.96390358674,3573.6784963674572,3574.3932320667304,3575.1081107131436,3575.823132335286,3576.538296961753,3577.2536046211453,3577.9690553420696
46,4975.255253333344,4976.250304384011,4977.245554444888,4978.241003555777,4979.236651756488,4980.232499086839,4981.228545586657,4982.224791295774,4983.221236254033,4984.217880501284
47,4062.628986666669,4063.4415124640022,4064.254200766495,4065.0670516066484,4065.8800650169696,4066.693241029973,4067.5065796781787,4068.320080994114,4069.133745010313,4069.947571759315
48,1694.6119999999967,1694.9509223999967,1695.2899125844767,1695.6289705669935,1695.968096361107,1696.3072899803792,1696.6465514383754,1696.985880748663,1697.3252779248128,1697.6647429803977
49,93.85522666666668,93.87399771200002,93.89277251154242,93.91155106604472,93.93033337625793,93.94911944293318,93.96790926682176,93.98670284867512,94.00550018924486,94.0243012892827
50,173.55354666666688,173.5882573760002,173.6229750274754,173.6576996224809,173.69243116240537,173.72716964863784,173.76191508256755,173.79666746558405,173.83142679907715,173.86619308443696
51,166.8340533333336,166.86742014400025,166.90079362802905,166.93417378675466,166.967560621512,167.0009541336363,167.034354324463,167.0677611953279,167.10117474756697,167.1345949825165
52,159.55520000000027,159.58711104000025,159.61902846220823,159.65095226790066,159.68288245835424,159.7148190348459,159.74676199865286,159.77871135105258,159.8106670933228,159.84262922674145
53,119.05103999999997,119.07485020799997,119.09866517804157,119.12248491107718,119.1463094080594,119.17013866994101,119.193972697675,119.21781149221452,119.24165505451296,119.26550338552386
54,176.41338666666672,176.44866934400005,176.48395907786886,176.51925586968443,176.55455972085835,176.58987063280253,176.6251886069291,176.66051364465048,176.6958457473794,176.73118491652886
