,PV Corrected,Radiation,Efficiency
2016-05-01 17:00:00,15969.184719950326,319.76,0.12813739805808536
2016-05-01 18:00:00,2171.9123360426593,41.425000000000004,0.13524267318306807
2016-05-01 19:00:00,0.0,0.0,0.1362441483638491
2016-05-01 20:00:00,0.0,0.0,0.13626437935738156
2016-05-01 21:00:00,0.0,0.0,0.13626575095016338
2016-05-01 22:00:00,0.0,0.0,0.1362622876783892
2016-05-01 23:00:00,0.0,0.0,0.1361647331417795
2016-05-02 00:00:00,0.0,0.0,0.13604581604759228
2016-05-02 01:00:00,0.0,0.0,0.13598272277962678
2016-05-02 02:00:00,0.0,0.0,0.1359454154559602
2016-05-02 03:00:00,0.0,0.0,0.1359469584978398
2016-05-02 04:00:00,0.0,0.0,0.13592508159296915
2016-05-02 05:00:00,0.0,0.0,0.13589812979480562
2016-05-02 06:00:00,0.0,0.0,0.13591263438847379
2016-05-02 07:00:00,994.3720088250711,18.819166666666668,0.13540230230837433
2016-05-02 08:00:00,8811.530443678019,172.495,0.13154501250706643
2016-05-02 09:00:00,22769.379237179255,470.1675,0.1239377792803207
2016-05-02 10:00:00,34243.911979941135,749.7566666666667,0.11670182189051002
2016-05-02 11:00:00,41632.92878386522,952.3683333333333,0.11159834810167417
2016-05-02 12:00:00,45397.68441203767,1065.7475,0.10869840693603133
2016-05-02 13:00:00,46212.4099874226,1089.1899999999998,0.10825904679051367
2016-05-02 14:00:00,44042.6757295939,1020.1108333333331,0.11018801719114268
2016-05-02 15:00:00,38410.93050642585,857.6666666666665,0.1143749770083514
2016-05-02 16:00:00,28947.107118234326,612.7258333333333,0.12083462258388335
2016-05-02 17:00:00,15202.88611832517,302.56,0.1289369314969476
2016-05-02 18:00:00,1794.103443858997,34.064166666666665,0.13567816029867583
2016-05-02 19:00:00,0.0,0.0,0.13641083117666455
2016-05-02 20:00:00,0.0,0.0,0.1363908745016885
2016-05-02 21:00:00,0.0,0.0,0.13636687162800595
2016-05-02 22:00:00,0.0,0.0,0.13634465182493985
2016-05-02 23:00:00,0.0,0.0,0.1363806904252832
2016-05-03 00:00:00,0.0,0.0,0.13642533577033272
2016-05-03 01:00:00,0.0,0.0,0.13640229301159748
2016-05-03 02:00:00,0.0,0.0,0.1363815819605914
2016-05-03 03:00:00,0.0,0.0,0.13636159099579578
2016-05-03 04:00:00,0.0,0.0,0.13633655942752687
2016-05-03 05:00:00,0.0,0.0,0.13630991623773928
2016-05-03 06:00:00,0.0,0.0,0.13629002814240232
2016-05-03 07:00:00,178.82936186934953,3.356666666666667,0.13617799421155566
2016-05-03 08:00:00,2939.6183942364787,55.71166666666667,0.1348403059104963
2016-05-03 09:00:00,9320.131374946182,180.94083333333333,0.13160224626941827
2016-05-03 10:00:00,19745.787680318845,406.06583333333333,0.1256694272077983
2016-05-03 11:00:00,19011.943956857493,385.94000000000005,0.12625442586101623
2016-05-03 12:00:00,18422.373579635034,373.1283333333334,0.1265504853694054
2016-05-03 13:00:00,32658.933812988686,711.3758333333334,0.1175959421890488
2016-05-03 14:00:00,26512.631421614537,555.8691666666666,0.1218008931459094
2016-05-03 15:00:00,20351.248502179118,414.09666666666675,0.1255918777519072
2016-05-03 16:00:00,19279.291969851518,401.36000000000007,0.12595044247778175
2016-05-03 17:00:00,4600.562320493354,87.59583333333335,0.13416490851034088
2016-05-03 18:00:00,589.8610521126176,11.086666666666666,0.13614324719064033
2016-05-03 19:00:00,0.0,0.0,0.13638168483005
2016-05-03 20:00:00,0.0,0.0,0.13635507593008198
2016-05-03 21:00:00,0.0,0.0,0.13635689329051795
2016-05-03 22:00:00,0.0,0.0,0.1363460919973608
2016-05-03 23:00:00,0.0,0.0,0.13632260347097144
2016-05-04 00:00:00,0.0,0.0,0.13629846343801072
2016-05-04 01:00:00,0.0,0.0,0.13628128423841798
2016-05-04 02:00:00,0.0,0.0,0.13626455080647926
2016-05-04 03:00:00,0.0,0.0,0.13625203502234484
2016-05-04 04:00:00,0.0,0.0,0.13623519872094753
2016-05-04 05:00:00,0.0,0.0,0.13622216858951983
2016-05-04 06:00:00,0.0,0.0,0.13620930990718988
2016-05-04 07:00:00,232.33222508278632,4.361666666666667,0.1360960208930461
2016-05-04 08:00:00,3449.9083790133814,65.61416666666666,0.13454158346289435
2016-05-04 09:00:00,14855.398987825247,295.6791666666666,0.12867748205484822
2016-05-04 10:00:00,16748.436530187057,334.7250000000001,0.12779088980566258
2016-05-04 11:00:00,26758.326595018716,570.5225,0.12163309653029884
2016-05-04 12:00:00,32561.229180397757,710.3358333333334,0.11805392405777827
2016-05-04 13:00:00,39451.77584184649,903.0225,0.11302154814451336
2016-05-04 14:00:00,30131.758330159344,659.5416666666667,0.11949383150661515
2016-05-04 15:00:00,29420.812275909353,642.7200000000001,0.11991455241742695
2016-05-04 16:00:00,29040.154786717427,616.385,0.12063667313309055
2016-05-04 17:00:00,15012.437379866606,298.9066666666667,0.12885930736647302
2016-05-04 18:00:00,1998.485660890031,37.97333333333333,0.13551209473150835
2016-05-04 19:00:00,0.0,0.0,0.13634334881179708
2016-05-04 20:00:00,0.0,0.0,0.13633131308513627
2016-05-04 21:00:00,0.0,0.0,0.13629959500205577
2016-05-04 22:00:00,0.0,0.0,0.13621531062561051
2016-05-04 23:00:00,0.0,0.0,0.13618733013286063
2016-05-05 00:00:00,0.0,0.0,0.13613887861784144
2016-05-05 01:00:00,0.0,0.0,0.1361243740241733
2016-05-05 02:00:00,0.0,0.0,0.13610133126543802
2016-05-05 03:00:00,0.0,0.0,0.13610527459468588
2016-05-05 04:00:00,0.0,0.0,0.13608668951249167
2016-05-05 05:00:00,0.0,0.0,0.13613606685263865
2016-05-05 06:00:00,0.0,0.0,0.13620653243180667
2016-05-05 07:00:00,862.0060658387947,16.27,0.1357856769964418
2016-05-05 08:00:00,8882.741566483086,173.00500000000002,0.1317388797385126
2016-05-05 09:00:00,22105.239586766922,455.06333333333333,0.1243640372531305
2016-05-05 10:00:00,33279.294329684024,726.355,0.11729997120988232
2016-05-05 11:00:00,36368.015021975145,812.2691666666666,0.11517849526257817
2016-05-05 12:00:00,24723.349769047592,526.7083333333334,0.12272195031856285
2016-05-05 13:00:00,20001.927525252286,406.1275,0.12592465888589965
2016-05-05 14:00:00,20798.153570464317,425.72166666666664,0.125394740095271
2016-05-05 15:00:00,19496.783236893938,397.78999999999996,0.1261352821732048
2016-05-05 16:00:00,13003.74532489876,256.38166666666666,0.12981457786617434
2016-05-05 17:00:00,4623.33059051775,88.14249999999998,0.13426115545466458
2016-05-05 18:00:00,209.40232342559685,3.920833333333334,0.13643204971089568
2016-05-05 19:00:00,0.0,0.0,0.13649971038892902
2016-05-05 20:00:00,0.0,0.0,0.1364865773880427
2016-05-05 21:00:00,0.0,0.0,0.13645821970727778
2016-05-05 22:00:00,0.0,0.0,0.13645547652171408
2016-05-05 23:00:00,0.0,0.0,0.13642228397639308
2016-05-06 00:00:00,0.0,0.0,0.13640678497795808
2016-05-06 01:00:00,0.0,0.0,0.13638545671020016
2016-05-06 02:00:00,0.0,0.0,0.136370952116532
2016-05-06 03:00:00,0.0,0.0,0.13635613891448792
2016-05-06 04:00:00,0.0,0.0,0.13634406889800757
2016-05-06 05:00:00,0.0,0.0,0.1363319988815272
2016-05-06 06:00:00,0.0,0.0,0.13632164335602415
2016-05-06 07:00:00,101.63543543227077,1.905,0.13626518876032234
2016-05-06 08:00:00,1894.776249605943,35.755,0.13537845044678098
2016-05-06 09:00:00,5220.008602818042,99.72333333333334,0.13372262260887016
2016-05-06 10:00:00,7631.983401336606,147.08416666666668,0.1325139906987913
2016-05-06 11:00:00,10956.885219807058,213.88083333333336,0.13075815350549133
2016-05-06 12:00:00,9851.58047322881,191.5816666666667,0.13133591764859323
2016-05-06 13:00:00,9318.646970663773,180.67416666666665,0.13163651239624422
2016-05-06 14:00:00,8219.543600885498,158.76166666666668,0.13220663168870342
2016-05-06 15:00:00,3896.439809319678,73.98166666666667,0.13441991963400143
2016-05-06 16:00:00,3181.3393646904,60.24916666666667,0.13477643975532344
2016-05-06 17:00:00,1556.0901287593342,29.328333333333337,0.13558293600208665
2016-05-06 18:00:00,161.3831433825641,3.025,0.136264492745935
2016-05-06 19:00:00,0.0,0.0,0.1363299414923544
2016-05-06 20:00:00,0.0,0.0,0.13631591695615985
2016-05-06 21:00:00,0.0,0.0,0.1363115278592579
2016-05-06 22:00:00,0.0,0.0,0.13630172097086765
2016-05-06 23:00:00,0.0,0.0,0.13629030246095866
2016-05-07 00:00:00,0.0,0.0,0.13626640245673477
2016-05-07 01:00:00,0.0,0.0,0.1362526522390967
2016-05-07 02:00:00,0.0,0.0,0.13625080058884115
2016-05-07 03:00:00,0.0,0.0,0.13624644578175873
2016-05-07 04:00:00,0.0,0.0,0.13622744922173002
2016-05-07 05:00:00,0.0,0.0,0.13623399857726337
2016-05-07 06:00:00,0.0,0.0,0.1362398621364058
2016-05-07 07:00:00,117.47002051961562,2.2033333333333336,0.13617897444159163
2016-05-07 08:00:00,2231.8076758736656,42.18666666666667,0.13514386037433165
2016-05-07 09:00:00,5810.172831455088,111.1875,0.13338845743757616
2016-05-07 10:00:00,9800.668322415679,190.89583333333334,0.13140884827403368
2016-05-07 11:00:00,13953.480030155204,275.9375,0.12923727849760658
2016-05-07 12:00:00,14718.454318083946,291.69666666666666,0.12893170108981708
2016-05-07 13:00:00,22254.579981710773,461.0333333333333,0.12450351816654533
2016-05-07 14:00:00,18543.13880929952,377.8575,0.12667849957086338
2016-05-07 15:00:00,14040.557430490013,281.17083333333335,0.12930437287285282
2016-05-07 16:00:00,5222.8827215724,99.58083333333332,0.13398776465732637
2016-05-07 17:00:00,2192.934477718209,41.395,0.13540097761340544
