;1,0;2,0
578,0;0,0;9116,290993092549
579,0;0,0;7840,852766221639
580,0;0,0;6247,910056602621
581,0;0,0;3815,833915659668
582,0;0,0;1874,055993876197
583,0;10,412633101213181;1626,7883716475546
584,0;110,71049958581497;951,0567312244463
585,0;221,59082064412786;410,561128656201
586,0;334,2893115009026;278,81716935982894
587,0;430,975625713288;143,54539320514868
588,0;498,119098056345;68,29292729192437
589,0;526,7588463128193;102,19213198702559
590,0;513,1550576031576;218,2977968370581
591,0;458,9398862085076;423,85802793767266
592,0;371,24906169814807;1247,271642356826
593,0;262,7903926748846;3408,693744653922
594,0;147,5482091663297;6915,461313123216
595,0;45,554945688236074;8554,83311006672
596,0;0,0;7688,538366640188
597,0;0,0;5778,552801931511
598,0;0,0;4768,620438213304
599,0;0,0;4758,124498082872
600,0;0,0;3391,996380089588
601,0;0,0;1813,465475082047
602,0;0,0;373,4279575703263
603,0;0,0;0,0
604,0;0,0;0,0
605,0;0,0;0,0
606,0;0,0;0,0
607,0;9,086572571020445;36,698795442461574
608,0;148,43514115402132;26,50405631154551
609,0;312,9838255497247;0,0
610,0;476,0234313147268;0,0
611,0;614,8989806557299;41,96277000013726
612,0;710,5825934535355;43,88136370251728
613,0;751,5217851098523;0,0
614,0;732,8080343797648;0,0
615,0;656,264167043928;0,0
616,0;531,5430921176055;0,0
617,0;374,2581624156555;0,0
618,0;206,16885081363523;0,0
619,0;51,64273415529525;0,0
620,0;0,0;6,948119955910048
621,0;0,0;396,53809553371656
622,0;0,0;2855,0628527163453
623,0;0,0;5892,6023424445475
624,0;0,0;3461,444563157305
625,0;0,0;3737,6479467102067
626,0;0,0;4988,647870925451
627,0;0,0;5755,490249061614
628,0;0,0;5820,7696616587045
629,0;0,0;7395,9940472838125
630,0;0,0;12219,332085841992
631,0;9,20754376466551;15610,290118952653
632,0;128,64880707583526;14290,346655266589
633,0;266,6362382024728;10494,129949827146
634,0;404,56196415161156;7315,15841503583
635,0;522,7923869354437;5139,222104733613
636,0;605,414615076168;5142,999409326325
637,0;641,8011776052077;6308,598290372634
638,0;626,4886324588924;7316,296503070214
639,0;561,1830023829139;6797,649676348845
640,0;454,60090444916216;7547,2131367332
641,0;320,7560552781157;10224,992842446358
642,0;178,58980007506517;11564,841905197789
643,0;49,17538948087684;10574,217128208971
644,0;0,0;11176,810910750475
645,0;0,0;12921,39040873971
646,0;0,0;14931,259183300632
647,0;0,0;15683,766800161064
648,0;0,0;13471,301982728219
649,0;0,0;9763,711098452768
650,0;0,0;7545,052740593951
651,0;0,0;6245,83301373438
652,0;0,0;5949,980755291215
653,0;0,0;6609,337344083991
654,0;0,0;9930,606614048798
655,0;7,822863819534524;14466,873237167438
656,0;144,002934641347;14781,25334933079
657,0;304,26892993686977;13813,400884636274
658,0;463,07185844483797;9878,483760200657
659,0;598,1936738454735;4758,726243238492
660,0;691,6032113367186;1437,0961201670762
661,0;731,6758457523737;268,9700822616017
662,0;713,8406203755852;9,445341641909577
663,0;640,2909535699539;0,0
664,0;519,2027040663629;0,0
665,0;367,1458669918805;0,0
666,0;203,01356834738442;224,72960814159194
667,0;51,79527309702084;1467,8412267585938
668,0;0,0;4881,969346215328
669,0;0,0;9244,005163287198
670,0;0,0;11774,651030945484
671,0;0,0;12216,947698032856
672,0;0,0;10582,65127519263
673,0;0,0;7749,7950799463915
674,0;0,0;5992,465904847858
675,0;0,0;5090,36009564366
676,0;0,0;4717,742862430407
677,0;0,0;4364,9377798637315
678,0;0,0;4420,507509068437
679,0;7,5842905675734285;5196,794711976474
680,0;128,48264443969032;2951,2477069375336
681,0;268,7686846194435;799,4597728999431
682,0;409,2642987012246;1154,915675386668
683,0;530,2714592348648;3000,599702315657
684,0;614,8152564557711;3971,153228920864
685,0;651,8055585710455;4580,807931867633
686,0;636,357941518463;5093,944050850769
687,0;570,599469765883;5086,091441506761
688,0;462,8455788599757;3342,305147382424
689,0;327,42362485761413;1768,2380881411175
690,0;182,31332469069244;1712,4419822354228
691,0;49,78165962625017;1687,4067641648148
692,0;0,0;996,4029915425706
693,0;0,0;376,5019282606434
694,0;0,0;178,40781663775252
695,0;0,0;121,77161375777268
696,0;0,0;213,2928207424547
697,0;0,0;381,486227642577
698,0;0,0;1166,3215354735778
699,0;0,0;2586,1225147188
700,0;0,0;3662,8227316761468
701,0;0,0;3134,6993737142952
702,0;0,0;630,5438665967051
703,0;6,6368842354978455;71,36317459123909
704,0;136,10375785097997;0,0
705,0;288,0534341145451;0,0
706,0;439,54011388819;0,0
707,0;569,1964352511476;0,0
708,0;659,4966248841415;0,0
709,0;699,0186214595852;0,0
710,0;682,6156107925478;0,0
