year,scenario,weight,fuel_cost,grid_import_cost,grid_export_revenue,res_subsidy_revenue,annual_variable_cost,fixed_om_res,fixed_om_battery,fixed_om_generator,fixed_om_total,lost_load_penalty,scope1_emissions,scope2_emissions,scope3_res_emissions,scope3_battery_emissions,scope3_generator_emissions,scope3_emissions,total_emissions,scope1_emissions_cost,scope2_emissions_cost,scope3_res_emissions_cost,scope3_battery_emissions_cost,scope3_generator_emissions_cost,emissions_cost,total_operating_cost
2032,low_demand,0.3333333333333333,30728.140879603743,0.0,0.0,25748.313841082334,4979.827038521409,0.0,15621.957007208608,1031.0741974793625,16653.03120468797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21632.858243209383
2032,base_demand,0.3333333333333333,36289.63224054049,0.0,0.0,25950.600070373737,10339.032170166756,0.0,15621.957007208608,1031.0741974793625,16653.03120468797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26992.063374854726
2032,high_demand,0.3333333333333333,42324.64897188757,0.0,0.0,26149.72317412184,16174.925797765729,0.0,15621.957007208608,1031.0741974793625,16653.03120468797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32827.9570024537
2033,low_demand,0.3333333333333333,36435.40519828861,0.0,0.0,25955.628774763416,10479.776423525193,0.0,15621.957007208608,1031.0741974793625,16653.03120468797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27132.807628213166
2033,base_demand,0.3333333333333333,42637.43853435646,0.0,0.0,26159.61994535183,16477.818589004626,0.0,15621.957007208608,1031.0741974793625,16653.03120468797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33130.8497936926
2033,high_demand,0.3333333333333333,49244.104211482765,0.0,0.0,26360.911226713906,22883.19298476886,0.0,15621.957007208608,1031.0741974793625,16653.03120468797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39536.22418945683
2034,low_demand,0.3333333333333333,42797.74580845333,0.0,0.0,26164.692040644306,16633.053767809022,0.0,15621.957007208608,1031.0741974793625,16653.03120468797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33286.084972496996
2034,base_demand,0.3333333333333333,49585.85816523264,0.0,0.0,26370.880121473885,23214.978043758754,0.0,15621.957007208608,1031.0741974793625,16653.03120468797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39868.009248446724
2034,high_demand,0.3333333333333333,56739.68047440734,0.0,0.0,26573.604063347935,30166.076411059403,0.0,15621.957007208608,1031.0741974793625,16653.03120468797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46819.10761574737
2035,low_demand,0.3333333333333333,49761.88070136195,0.0,0.0,26375.982658334207,23385.898043027744,0.0,15621.957007208608,1031.0741974793625,16653.03120468797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40038.929247715714
2035,base_demand,0.3333333333333333,57106.290237074434,0.0,0.0,26583.626430620625,30522.66380645381,0.0,15621.957007208608,1031.0741974793625,16653.03120468797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47175.69501114178
2035,high_demand,0.3333333333333333,64817.96265849738,0.0,0.0,26786.970688840724,38030.99196965666,0.0,15621.957007208608,1031.0741974793625,16653.03120468797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54684.02317434463
2026,Expected,1.0,11031.380598953492,0.0,0.0,24519.10871983351,-13487.72812088002,0.0,15621.957007208606,1031.0741974793623,16653.03120468797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3165.303083807951
2027,Expected,1.0,15126.315741724455,0.0,0.0,24924.304686011845,-9797.988944287392,0.0,15621.957007208606,1031.0741974793623,16653.03120468797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6855.042260400578
2028,Expected,1.0,17969.82400468771,0.0,0.0,25128.5716145141,-7158.7476098263905,0.0,15621.957007208606,1031.0741974793623,16653.03120468797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9494.28359486158
2029,Expected,1.0,21514.293882156802,0.0,0.0,25332.81122032822,-3818.5173381714167,0.0,15621.957007208606,1031.0741974793623,16653.03120468797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12834.513866516552
2030,Expected,1.0,25783.236654199034,0.0,0.0,25537.259508912277,245.97714528675579,0.0,15621.957007208606,1031.0741974793623,16653.03120468797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16899.008349974723
2031,Expected,1.0,30772.92052282026,0.0,0.0,25742.541171100747,5030.379351719509,0.0,15621.957007208606,1031.0741974793623,16653.03120468797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21683.410556407478
2032,Expected,1.0,36447.474030677266,0.0,0.0,25949.545695192635,10497.92833548463,0.0,15621.957007208606,1031.0741974793623,16653.03120468797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27150.959540172604
2033,Expected,1.0,42772.31598137594,0.0,0.0,26158.719982276383,16613.595999099558,0.0,15621.957007208606,1031.0741974793623,16653.03120468797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33266.62720378753
2034,Expected,1.0,49707.761482697766,0.0,0.0,26369.725408488706,23338.03607420906,0.0,15621.957007208606,1031.0741974793623,16653.03120468797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39991.067278897026
2035,Expected,1.0,57228.71119897792,0.0,0.0,26582.193259265183,30646.517939712736,0.0,15621.957007208606,1031.0741974793623,16653.03120468797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47299.549144400706
